qa_id,question,adversarial_answer,prediction,is_abstain,correct_abst
conv-48_qa_210,How does Deborah describe the time spent with her snakes and partner?,,Cannot answer,True,1
conv-48_qa_211,For how long has Jolene had Lucifer as a pet?,,Cannot answer,True,1
conv-48_qa_212,How does Deborah feel when spending time with Seraphim?,,Cannot answer,True,1
conv-48_qa_213,What made being part of the running group easy for Jolene to stay motivated?,,Cannot answer,True,1
conv-48_qa_214,Why did Jolene decide to get a tarantula as a pet?,,Cannot answer,True,1
conv-48_qa_215,"How did Deborah come to have her pet, Susie?",,Cannot answer,True,1
conv-48_qa_216,What did Deborah design inspired by their love for space and engines?,,Cannot answer,True,1
conv-48_qa_217,What journal has Deborah been using to help track tasks and stay organized?,,Cannot answer,True,1
conv-48_qa_218,What game did Jolene recommend to Deborah for being thrilling and intense?,,Cannot answer,True,1
conv-48_qa_219,What game did Deborah suggest as an awesome open-world game for the Nintendo Switch?,,Cannot answer,True,1
conv-48_qa_220,What is special about the bench at the park near Jolene's house?,,Cannot answer,True,1
conv-48_qa_221,What did Jolene and her mom chat about at their special bench in the park?,,Cannot answer,True,1
conv-48_qa_222,How did Deborah feel after receiving positive feedback at the virtual conference?,,Cannot answer,True,1
conv-48_qa_223,What kind of event did Deborah present at recently?,,Cannot answer,True,1
conv-48_qa_224,"What did Deborah's mom stress the value of, which she wants to keep in mind for her engineering projects?",,Cannot answer,True,1
conv-48_qa_225,What type of projects is Deborah interested in getting involved in the future?,,Cannot answer,True,1
conv-48_qa_226,"How did Jolene get Luna, one of her cats?",,Cannot answer,True,1
conv-48_qa_227,"What type of classes did Deborah and her partner check out during their trip to Rio de Janeiro on 30 August, 2023?",,Cannot answer,True,1
conv-48_qa_228,"Why did Deborah get the new plant on 30 August, 2023?",,Cannot answer,True,1
conv-48_qa_229,How did Jolene's mom support her yoga practice when she first started?,,Cannot answer,True,1
conv-48_qa_230,What was the video game console that Deborah's parents got her at age 10?,,Cannot answer,True,1
conv-48_qa_231,What was one of Deborah's favorite games to play with her mom on the PlayStation game system?,,Cannot answer,True,1
conv-48_qa_232,Where did Deborah and her partner travel for a few weeks in September 2023?,,Cannot answer,True,1
conv-48_qa_233,What did Jolene do with their mom's old friends?,,Cannot answer,True,1
conv-48_qa_234,Where did Jolene get married?,,Cannot answer,True,1
conv-48_qa_235,"What new activity did Jolene and her neighbor organize for the community on 16 September, 2023?",,Cannot answer,True,1
conv-48_qa_236,What food did Jolene's mom make for her on holidays?,,Cannot answer,True,1
conv-48_qa_237,What kind of cookies did Deborah used to bake with someone close to her?,,Cannot answer,True,1
conv-48_qa_238,"What activity did Jolene enjoy at the music festival with their pals on September 20, 2023?",,Cannot answer,True,1
conv-49_qa_156,What type of car did Sam get after his old Prius broke down?,,Cannot answer,True,1
conv-49_qa_157,How did Sam get into watercolor painting?,,Cannot answer,True,1
conv-49_qa_158,What did Sam start doing a few years back as a stress-buster?,,Cannot answer,True,1
conv-49_qa_159,"Where did Sam take his family for a road trip on 24 May, 2023?",,Cannot answer,True,1
conv-49_qa_160,What did Sam find relaxing about his road trip to Jasper?,,Cannot answer,True,1
conv-49_qa_161,What habit is Evan trying to change in terms of diet?,,Eating less processed food and sugary snacks.,False,0
conv-49_qa_162,What frustrating issue did Evan face at the supermarket?,,Cannot answer,True,1
conv-49_qa_163,What novel is Sam reading that he finds gripping?,,Cannot answer,True,1
conv-49_qa_164,What does the smartwatch help Sam with?,,Cannot answer,True,1
conv-49_qa_165,Why did Sam decide to get the bonsai tree?,,Cannot answer,True,1
conv-49_qa_166,What did Sam mention he had been searching for fruitlessly for half an hour?,,Cannot answer,True,1
conv-49_qa_167,What class is Evan taking to learn how to make healthier meals?,,Cannot answer,True,1
conv-49_qa_168,"What dish did Sam make on 18 August, 2023 that turned out bland?",,Cannot answer,True,1
conv-49_qa_169,"What food did Evan share a photo of on 19 August, 2023?",,Cannot answer,True,1
conv-49_qa_170,What did Evan start sculpting years ago due to being inspired by a friend's gift?,,Cannot answer,True,1
conv-49_qa_171,What nature concept do watercolor painting classes emphasize according to Sam?,,Cannot answer,True,1
conv-49_qa_172,What type of landscapes does Sam love painting the most?,,Cannot answer,True,1
conv-49_qa_173,What sports activity has Sam been doing to stay active while dealing with the knee injury?,,Cannot answer,True,1
conv-49_qa_174,What activity does Sam do to keep himself busy while healing his knee?,,Cannot answer,True,1
conv-49_qa_175,What kind of writing does Evan enjoy as a form of expression?,,Cannot answer,True,1
conv-49_qa_176,What electronics issue has been frustrating Evan lately?,,Cannot answer,True,1
conv-49_qa_177,What activity did Evan quit one year ago?,,Cannot answer,True,1
conv-49_qa_178,Where did Sam and his mate plan to try skydiving?,,Cannot answer,True,1
conv-49_qa_179,What digestive issue did Evan experience lately?,,Cannot answer,True,1
conv-49_qa_180,How did Sam start his transformation journey two years ago?,,Cannot answer,True,1
conv-49_qa_181,What gift did Sam receive from a close friend?,,Cannot answer,True,1
conv-49_qa_182,How does Sam describe the island he grew up on?,,Cannot answer,True,1
conv-49_qa_183,What was the main reason for Evan's frustration with his new Prius getting stolen?,,Cannot answer,True,1
conv-49_qa_184,What family event is Sam planning for next summer?,,Cannot answer,True,1
conv-49_qa_185,What is the motto of Sam's family?,,Cannot answer,True,1
conv-49_qa_186,Who helped Sam get the painting published in the exhibition?,,Cannot answer,True,1
conv-49_qa_187,How did Sam feel when he painted the piece with the bird flying over it?,,Cannot answer,True,1
conv-49_qa_188,How did Sam describe the process of creating the painting with the bird flying over it?,,Cannot answer,True,1
conv-49_qa_189,"What did Evan and his partner keep from their extended family on January 5, 2024?",,Cannot answer,True,1
conv-49_qa_190,What was Sam limiting himself to on his new diet?,,Cannot answer,True,1
conv-49_qa_191,What dance activity did Evan and his partner try in a recent weekend?,,Cannot answer,True,1
conv-49_qa_192,What suggestions did Evan give for high-impact exercises?,,Cannot answer,True,1
conv-49_qa_193,What movie did Evan watch that motivated him to keep up with his routine?,,Cannot answer,True,1
conv-49_qa_194,What activity hindered Evan's stress and flexibility?,,Cannot answer,True,1
conv-49_qa_195,What did Sam share a photo of that was taken on a camping trip?,,Cannot answer,True,1
conv-50_qa_158,Which DJ was Dave's favorite at the music festival in April 2023?,,Cannot answer,True,1
conv-50_qa_159,What advice did Calvin receive from the chef at the music festival?,,Cannot answer,True,1
conv-50_qa_160,"What is Calvin's new business venture as of 1 May, 2023?",,Cannot answer,True,1
conv-50_qa_161,What type of cars does Calvin work on at his shop?,,Cannot answer,True,1
conv-50_qa_162,What did Dave receive as a gift from another artist?,,Cannot answer,True,1
conv-50_qa_163,What was the necklace Dave received meant to remind him of?,,Cannot answer,True,1
conv-50_qa_164,What did Calvin open in May 2023?,,Cannot answer,True,1
conv-50_qa_165,What gives Calvin a sense of achievement and purpose?,,Fixing cars,False,0
conv-50_qa_166,What sports activity is Dave planning to try after the tour with Frank Ocean?,,Cannot answer,True,1
conv-50_qa_167,How does Calvin describe his process of adding acoustic elements to his songs?,,Cannot answer,True,1
conv-50_qa_168,What clothing brand does Calvin own that he is proud of?,,Cannot answer,True,1
conv-50_qa_169,"What workshop did Calvin get picked for on 11 August, 2023?",,Cannot answer,True,1
conv-50_qa_170,What kind of modifications has Calvin been working on in the car mod workshop?,,Cannot answer,True,1
conv-50_qa_171,What type of car did Calvin work on during the workshop?,,Cannot answer,True,1
conv-50_qa_172,What did Dave and his friends record in August 2023?,,Cannot answer,True,1
conv-50_qa_173,Where did Dave start shooting a video for his new album?,,Cannot answer,True,1
conv-50_qa_174,What design is featured on Dave's guitar?,,Cannot answer,True,1
conv-50_qa_175,Why did Dave get his guitar customized with a shiny finish?,,Cannot answer,True,1
conv-50_qa_176,What color glow did Dave customize his guitar with?,,purple,False,0
conv-50_qa_177,Where did Calvin come back from with insights on car modification on 1st September 2023?,,Cannot answer,True,1
conv-50_qa_178,What emotion does Calvin mention feeling when he sees the relief of someone whose car he fixed?,,Cannot answer,True,1
conv-50_qa_179,What did Dave book a flight ticket for on 1st September 2023?,,Cannot answer,True,1
conv-50_qa_180,Which horror movie did Dave mention as one of his favorites?,,Cannot answer,True,1
conv-50_qa_181,Which song from the childhood of Dave brings back memories of a road trip with his dad?,,Cannot answer,True,1
conv-50_qa_182,What car did Calvin work on in the junkyard?,,Cannot answer,True,1
conv-50_qa_183,What does Dave find satisfying about destroying old cars?,,Cannot answer,True,1
conv-50_qa_184,What does working on boats represent for Dave?,,Cannot answer,True,1
conv-50_qa_185,What does Dave aim to do with his passion for cooking?,,Cannot answer,True,1
conv-50_qa_186,"What did Calvin recently get that is a ""masterpiece on canvas""?",,Cannot answer,True,1
conv-50_qa_187,Who headlined the music festival that Calvin attended in October?,,Cannot answer,True,1
conv-50_qa_188,Which part of Tokyo is described as Tokyo's Times Square by Dave?,,Cannot answer,True,1
conv-50_qa_189,What specific location in Tokyo does Calvin mention being excited to avoid?,,Cannot answer,True,1
conv-50_qa_190,When did Calvin sell the car he restored last year?,,Cannot answer,True,1
conv-50_qa_191,When did Calvin first get interested in motorcycles?,,Cannot answer,True,1
conv-50_qa_192,What realization did the nightclub experience bring to Dave?,,Cannot answer,True,1
conv-50_qa_193,What did Dave do recently at his Japanese house?,,Cannot answer,True,1
conv-50_qa_194,What did Calvin recently start a blog about?,,Cannot answer,True,1
conv-50_qa_195,What type of videos does Dave usually watch on his television?,,Cannot answer,True,1
conv-50_qa_196,What type of art has Dave been getting into lately?,,photography,False,0
conv-50_qa_197,What type of content does Dave post on his blog that inspired others to start their own cooking projects?,,Cannot answer,True,1
conv-50_qa_198,What kind of impact does Dave's blog on vegan recipes have on people?,,Cannot answer,True,1
conv-50_qa_199,"Who did Dave invite to see him perform in Boston on 13 November, 2023?",,Cannot answer,True,1
conv-50_qa_200,What new item did Calvin buy recently?,,new car,False,0
conv-50_qa_201,What type of photos does Calvin like to capture with his new camera?,,Cannot answer,True,1
conv-50_qa_202,What did Dave discuss with the cool artist he met at the gala?,,Cannot answer,True,1
conv-50_qa_203,Where did Calvin take a stunning photo of a waterfall?,,Cannot answer,True,1
