qa_id,P3_frozen,P4_repl2,same
conv-43_qa_18,Patrick Rothfuss,Patrick Rothfuss,True
conv-43_qa_19,Cannot answer,Cannot answer,True
conv-43_qa_2,jerseys,jerseys,True
conv-43_qa_20,Cannot answer,Cannot answer,True
conv-43_qa_21,"New York City, Seattle, Chicago","New York City, Seattle, Chicago",True
conv-43_qa_22,15th,15th,True
conv-43_qa_23,Cannot answer,Cannot answer,True
conv-43_qa_24,Cannot answer,Cannot answer,True
conv-43_qa_25,Cannot answer,Cannot answer,True
conv-43_qa_26,The Wheel of Time,The Wheel of Time,True
conv-43_qa_27,"25 minutes on, then 5 minutes off","25 minutes on, then 5 minutes off",True
conv-43_qa_28,Cannot answer,Cannot answer,True
conv-43_qa_29,Cannot answer,Cannot answer,True
conv-43_qa_3,Cannot answer,Cannot answer,True
conv-43_qa_30,"New York City, Seattle, Chicago","New York City, Seattle, Chicago",True
conv-43_qa_31,Cannot answer,Cannot answer,True
conv-43_qa_32,Cannot answer,Cannot answer,True
conv-43_qa_33,Cannot answer,next month,False
conv-43_qa_34,Cannot answer,Cannot answer,True
conv-43_qa_35,"Camping, hiking.","Camping, hiking.",True
conv-43_qa_36,Cannot answer,Cannot answer,True
conv-43_qa_37,Cannot answer,Cannot answer,True
conv-43_qa_38,Cannot answer,Cannot answer,True
conv-43_qa_39,Cannot answer,2023,False
conv-43_qa_4,The Name of the Wind,Cannot answer,False
conv-43_qa_40,Cannot answer,Cannot answer,True
conv-43_qa_41,Cannot answer,Cannot answer,True
conv-43_qa_42,honey garlic chicken with roasted veg,honey garlic chicken with roasted veg,True
conv-43_qa_43,"His work ethic, dedication, determination, and heart.","His work ethic, dedication, determination, heart, skills, an",False
conv-43_qa_44,Cannot answer,Cannot answer,True
conv-43_qa_45,Cannot answer,Cannot answer,True
conv-43_qa_46,Cannot answer,Cannot answer,True
conv-43_qa_47,Cannot answer,Cannot answer,True
conv-43_qa_48,Cannot answer,Cannot answer,True
conv-43_qa_49,Cannot answer,Cannot answer,True
conv-43_qa_5,Cannot answer,Cannot answer,True
conv-43_qa_50,Cannot answer,Cannot answer,True
conv-43_qa_51,Cannot answer,Cannot answer,True
conv-43_qa_52,Strength training.,Strength training,False
conv-43_qa_53,Cannot answer,Cannot answer,True
conv-43_qa_54,Cannot answer,Last year,False
conv-43_qa_55,Just under a year ago.,just under a year ago,False
conv-43_qa_56,Cannot answer,Cannot answer,True
conv-43_qa_57,"piano, violin","piano, violin",True
conv-43_qa_58,Last August,August 2023,False
conv-43_qa_59,40 points and career-high in assists.,career-high in assists,False
conv-43_qa_6,July,July,True
conv-43_qa_60,Cannot answer,Cannot answer,True
conv-43_qa_61,Cannot answer,Cannot answer,True
conv-43_qa_62,He gives seminars.,He shares his knowledge by giving seminars.,False
conv-43_qa_63,last summer,last summer,True
conv-43_qa_64,December,December,True
conv-43_qa_65,"Star Wars, Lord of the Rings","Star Wars, Lord of the Rings",True
conv-43_qa_66,Cannot answer,Cannot answer,True
conv-43_qa_67,Cannot answer,Cannot answer,True
conv-43_qa_68,Friday,Friday,True
conv-43_qa_69,Next month,Next month,True
conv-43_qa_7,Cannot answer,Cannot answer,True
conv-43_qa_70,Cannot answer,Cannot answer,True
conv-43_qa_71,The Minnesota Wolves,The Minnesota Wolves,True
conv-43_qa_72,shooting guard,shooting guard,True
conv-43_qa_73,Fitting into the new team's style of play.,Fitting into the new team's style of play,False
conv-43_qa_74,Cannot answer,Cannot answer,True
conv-43_qa_75,fantasy literature forum,fantasy literature forum,True
conv-43_qa_76,Cannot answer,Cannot answer,True
conv-43_qa_77,40,40,True
conv-43_qa_78,Cannot answer,Cannot answer,True
conv-43_qa_79,basketball shoe and gear deal; potential sponsorship,"A basketball shoe and gear deal, and a potential sponsorship",False
conv-43_qa_8,Cannot answer,Cannot answer,True
conv-43_qa_80,Seattle,Seattle,True
conv-43_qa_81,Five years ago,Five years.,False
conv-43_qa_82,The feeling was unreal!,The feeling was unreal!,True
conv-43_qa_83,"different fantasy novels, studying characters, themes, and m",fantasy novels,False
conv-43_qa_84,Cannot answer,Cannot answer,True
conv-43_qa_85,Harry Potter trivia,Harry Potter trivia,True
conv-43_qa_86,Cannot answer,Cannot answer,True
conv-43_qa_87,awesome,awesome,True
conv-43_qa_88,He watched NBA games with his dad and was signed up for a lo,He watched NBA games with his dad and was signed up for a lo,True
conv-43_qa_89,Winning a championship,Winning a championship,True
conv-43_qa_9,Nike and Gatorade,Nike and Gatorade,True
conv-43_qa_90,Cannot answer,Cannot answer,True
conv-43_qa_91,15th,15th,True
conv-43_qa_92,A sign of their friendship.,A sign of their friendship.,True
conv-43_qa_93,To show our friendship and appreciation.,To show their friendship and appreciation.,False
conv-43_qa_94,To learn more about literature and create a stronger bond to,To learn more about literature and create a stronger bond to,True
conv-43_qa_95,piano,piano,True
conv-43_qa_96,Cannot answer,Cannot answer,True
conv-43_qa_97,Watching it with his family.,Watching it with his family.,True
conv-43_qa_98,Home Alone,Home Alone,True
conv-43_qa_99,Watching movies,Watching movies,True
conv-44_qa_0,Cannot answer,Cannot answer,True
conv-44_qa_1,Cannot answer,"27 March, 2023",False
conv-44_qa_10,Cannot answer,Cannot answer,True
conv-44_qa_100,knee injury,knee injury,True
conv-44_qa_101,jewelry out of recycled stuff,jewelry out of recycled stuff,True
conv-44_qa_102,To show her love of creativity and sustainability.,To show her love of creativity and sustainability.,True
conv-44_qa_103,animal shelter,animal shelter,True
conv-44_qa_104,She donates to an animal shelter.,She donates to an animal shelter.,True
conv-44_qa_105,Fetch and Frisbee,Fetch and Frisbee,True
conv-44_qa_106,goodies,goodies,True
conv-44_qa_107,Cannot answer,Cannot answer,True
conv-44_qa_108,They hate snow.,They were confused.,False
conv-44_qa_109,Exploring the great outdoors.,exploring the great outdoors,False
conv-44_qa_11,Last Sunday,Last Sunday,True
conv-44_qa_110,Walks,Walks,True
conv-44_qa_111,Cannot answer,Cannot answer,True
conv-44_qa_112,Sushi,Sushi,True
conv-44_qa_113,California or salmon roll,California or salmon roll,True
conv-44_qa_114,picnic date,picnic date,True
conv-44_qa_115,Cannot answer,Explore.,False
conv-44_qa_116,autumn colors,autumn colors,True
conv-44_qa_117,Joined a dog owners group.,Joined a dog owners group.,True
conv-44_qa_118,Once a week,Once a week,True
conv-44_qa_119,A pic of how she entertains them in her house with toys and ,A pic of how she entertains them in her house with toys and ,True
conv-44_qa_12,Cannot answer,"rock climbing, kayaking, bungee jumping",False
conv-44_qa_120,"puzzles, training, hide-and-seek","puzzles, training, hide-and-seek",True
conv-44_qa_121,Take them to a nearby park.,Take them to a nearby park.,True
conv-44_qa_122,"a bed, toys, and some puppy pads","a bed, toys, and some puppy pads",True
conv-44_qa_13,Cannot answer,"26 June, 2023",False
conv-44_qa_14,Nature,nature,False
conv-44_qa_15,Cannot answer,Cannot answer,True
conv-44_qa_16,Cannot answer,Cannot answer,True
conv-44_qa_17,Cannot answer,Cannot answer,True
conv-44_qa_18,Cannot answer,Cannot answer,True
conv-44_qa_19,Cannot answer,Cannot answer,True
conv-44_qa_2,Cannot answer,Cannot answer,True
conv-44_qa_20,Cannot answer,Cannot answer,True
conv-44_qa_21,Cannot answer,Agility classes and a dog training course.,False
conv-44_qa_22,camping,camping,True
conv-44_qa_23,Cannot answer,Cannot answer,True
conv-44_qa_24,Cannot answer,Cannot answer,True
conv-44_qa_25,Cannot answer,Last weekend,False
conv-44_qa_26,Cannot answer,Cannot answer,True
conv-44_qa_27,Cannot answer,Cannot answer,True
conv-44_qa_28,Cannot answer,Cannot answer,True
conv-44_qa_29,"Pepper, Precious, Panda, Pixie","Pepper, Precious, Panda, Pixie",True
conv-44_qa_3,Cannot answer,Cannot answer,True
conv-44_qa_30,next month,next month,True
conv-44_qa_31,Cannot answer,Cannot answer,True
conv-44_qa_32,Tattoos of her four dogs.,Tattoos of her four dogs.,True
conv-44_qa_33,Cannot answer,Cannot answer,True
conv-44_qa_34,Cannot answer,Cannot answer,True
conv-44_qa_35,Toby,Toby and Scout,False
conv-44_qa_36,"Chicken Pot Pie, Roasted Chicken, sushi","Chicken Pot Pie, Roasted Chicken, sushi",True
conv-44_qa_37,Cannot answer,last Friday,False
conv-44_qa_38,Cannot answer,Cannot answer,True
conv-44_qa_39,Cannot answer,Cannot answer,True
conv-44_qa_4,Cannot answer,Cannot answer,True
conv-44_qa_40,Dog park,Dog park,True
conv-44_qa_41,"Jack Russell mixes, Chihuahua mixes, Lab mixes",Cannot answer,False
conv-44_qa_42,positive reinforcement,positive reinforcement,True
conv-44_qa_43,Cannot answer,Cannot answer,True
conv-44_qa_44,Cannot answer,Cannot answer,True
conv-44_qa_45,Cannot answer,Cannot answer,True
conv-44_qa_46,Cannot answer,Cannot answer,True
conv-44_qa_47,Cannot answer,Cannot answer,True
conv-44_qa_48,friends and confidantes,friends and confidantes,True
conv-44_qa_49,family,family,True
conv-44_qa_5,Last week,Last week,True
conv-44_qa_50,Dog grooming,Dog grooming,True
conv-44_qa_51,Cannot answer,Cannot answer,True
conv-44_qa_52,Cannot answer,Cannot answer,True
conv-44_qa_53,Cannot answer,Cannot answer,True
conv-44_qa_54,socializing with the other pups and getting lots of exercise,socializing with other pups and getting lots of exercise,False
conv-44_qa_55,Cannot answer,Cannot answer,True
conv-44_qa_56,Cannot answer,Cannot answer,True
conv-44_qa_57,Cannot answer,Cannot answer,True
conv-44_qa_58,Sushi,Sushi,True
conv-44_qa_59,Cannot answer,Cannot answer,True
conv-44_qa_6,Cannot answer,Cannot answer,True
conv-44_qa_60,Cannot answer,Cannot answer,True
conv-44_qa_61,Eagles,Eagles,True
conv-44_qa_62,the peaceful moments out in nature,peaceful moments,False
conv-44_qa_63,"croissants, muffins, and tarts","croissants, muffins, and tarts",True
conv-44_qa_64,Cannot answer,Cannot answer,True
conv-44_qa_65,Chat with other dog owners.,Chat with people.,False
conv-44_qa_66,Cannot answer,smaller dog,False
conv-44_qa_67,near a park or woods,near a park or woods,True
conv-44_qa_68,Cannot answer,Cannot answer,True
conv-44_qa_69,She saw a flyer at her local pet store.,She saw a flyer at her local pet store.,True
conv-44_qa_7,Cannot answer,Cannot answer,True
conv-44_qa_70,positive reinforcement training,Positive reinforcement training,False
conv-44_qa_71,friendly and playful,friendly and playful,True
conv-44_qa_72,It helps pets learn how to behave.,Because punishment is never the proper way for pets.,False
conv-44_qa_73,Finding a pet-friendly place to live.,Finding a pet-friendly place to live.,True
conv-44_qa_74,Discouraged but determined.,Discouraged but determined.,True
conv-44_qa_75,kayaking and maybe bungee jumping,kayaking and maybe bungee jumping,True
conv-44_qa_76,About an hour.,About an hour.,True
conv-44_qa_77,a doggy play area with agility stuff and toys,a doggy play area with agility stuff and toys,True
conv-44_qa_78,a stunning lake,a stunning lake,True
conv-44_qa_79,Chicken Pot Pie,Chicken Pot Pie,True
conv-44_qa_8,No,No,True
conv-44_qa_80,Roasted Chicken,Roasted Chicken,True
conv-44_qa_81,volunteered at a pet shelter,volunteered at a pet shelter,True
conv-44_qa_82,Max,Max,True
conv-44_qa_83,Long walks in the neighborhood.,Long walks in the neighborhood.,True
conv-44_qa_84,"The oldest one is the most relaxed, the second one is always","The oldest one is the most relaxed, the second one is always",True
conv-44_qa_85,agility classes,agility classes,True
conv-44_qa_86,Twice a week,twice a week,False
conv-44_qa_87,Two hours,Two hours,True
conv-44_qa_88,Cannot answer,Cannot answer,True
conv-44_qa_89,Regular grooming.,"Daily brushing, regular baths, nail trims, and lots of love",False
conv-44_qa_9,"dog owners group, agility classes, dog training course, dog ","dog owners group, agility classes, dog training course, dog ",True
conv-44_qa_90,A doggy playdate.,A doggy playdate,False
conv-44_qa_91,Got some new beds for them.,Got some new beds for them.,True
conv-44_qa_92,They curl up and snuggle like they're in a cloud - it's ador,They absolutely love it! They curl up and snuggle like they',False
conv-44_qa_93,"I petted and hugged her, spoke calmly, and slowly walked her","I petted and hugged her, spoke calmly, and slowly walked her",True
conv-44_qa_94,Cannot answer,Cannot answer,True
conv-44_qa_95,Peruvian Lilies,Peruvian Lilies,True
conv-44_qa_96,"He learned a lot about animals, plants, and ecosystems.","He learned a lot about animals, plants, and ecosystems.",True
conv-44_qa_97,biking or using public transport,biking or using public transport,True
conv-44_qa_98,biking or using public transport,biking or using public transport,True
conv-44_qa_99,took them to the beach,Took them to the beach.,False
conv-47_qa_0,Cannot answer,Cannot answer,True
conv-47_qa_1,Cannot answer,Cannot answer,True
conv-47_qa_10,Cannot answer,last week,False
conv-47_qa_100,"No, this is not necessary.","No, this is not necessary.",True
conv-47_qa_101,Reading,Reading.,False
conv-47_qa_102,reading,Reading while snuggled under the covers.,False
conv-47_qa_103,Cannot answer,Cannot answer,True
conv-47_qa_104,Vancouver,Vancouver,True
conv-47_qa_105,July 20,July 20,True
conv-47_qa_106,chess,chess,True
conv-47_qa_107,He wanted something that made a difference.,Cannot answer,False
conv-47_qa_108,Fortnite,Fortnite,True
conv-47_qa_109,A routine examination and vaccination.,Routine examination and vaccination.,False
conv-47_qa_11,Cannot answer,Cannot answer,True
conv-47_qa_110,strategy and RPG,strategy and RPG games,False
conv-47_qa_111,The Witcher 3,The Witcher 3,True
conv-47_qa_112,The story and atmosphere.,the story,False
conv-47_qa_113,Cannot answer,Samantha,False
conv-47_qa_114,Call her.,Call her.,True
conv-47_qa_115,a gaming night,a gaming night,True
conv-47_qa_116,dark beer,dark beer,True
conv-47_qa_117,A bug in the code messed up the game mechanics.,A bug in the code messed up the game mechanics.,True
conv-47_qa_118,coding,coding,True
conv-47_qa_119,basic games and stories,basic games and stories,True
conv-47_qa_12,Cannot answer,Cannot answer,True
conv-47_qa_120,Sennheiser,Sennheiser,True
conv-47_qa_121,Cannot answer,Cannot answer,True
conv-47_qa_122,$10 per class,$10 per class,True
conv-47_qa_123,Cannot answer,Cannot answer,True
conv-47_qa_124,He wanted to learn something new.,He wanted to learn something new.,True
conv-47_qa_125,omelette,omelette,True
conv-47_qa_126,Cannot answer,Cannot answer,True
conv-47_qa_127,"Various sources like books, movies, and even dreams.","books, movies, and even dreams",False
conv-47_qa_128,Cannot answer,crazy dream,False
conv-47_qa_129,electronic and rock music,electronic and rock music,True
conv-47_qa_13,Cannot answer,Cannot answer,True
conv-47_qa_130,guitar,guitar,True
conv-47_qa_131,drums,Drums,False
conv-47_qa_132,making his first mobile game,making his first mobile game,True
conv-47_qa_133,2D adventure game with puzzles and exploration,2D adventure game with puzzles and exploration,True
conv-47_qa_134,He watches tutorials and keeps up with developer forums.,He watches tutorials and keeps up with developer forums.,True
conv-47_qa_135,programming mentor for game developers,programming mentor for game developers,True
conv-47_qa_136,Excited,Really excited,False
conv-47_qa_137,RPGs,RPGs,True
conv-47_qa_138,Playing video games and Witcher 3.,Witcher 3,False
conv-47_qa_139,His first gaming system.,His first gaming system.,True
conv-47_qa_14,Three days ago.,Cannot answer,False
conv-47_qa_140,a game,a game,True
conv-47_qa_141,Fortnite and a few other games.,Fortnite and a few other games.,True
conv-47_qa_142,For a children's hospital.,for a children's hospital,False
conv-47_qa_143,They decided to move in together.,They decided to move in together.,True
conv-47_qa_144,Cannot answer,Cannot answer,True
conv-47_qa_145,Cannot answer,They love the bar.,False
conv-47_qa_146,FIFA 23,FIFA 23,True
conv-47_qa_147,Cannot answer,Cannot answer,True
conv-47_qa_148,an online board game,an online board game,True
conv-47_qa_149,Luna,Luna,True
conv-47_qa_15,Cannot answer,Cannot answer,True
conv-47_qa_16,Cannot answer,Cannot answer,True
conv-47_qa_17,Cannot answer,Cannot answer,True
conv-47_qa_18,Cannot answer,Cannot answer,True
conv-47_qa_19,Cannot answer,Cannot answer,True
conv-47_qa_2,Cannot answer,Cannot answer,True
conv-47_qa_20,Cannot answer,Cannot answer,True
conv-47_qa_21,Cannot answer,Cannot answer,True
conv-47_qa_22,children's hospital,children's hospital,True
conv-47_qa_23,next month,next month,True
conv-47_qa_24,strategy games,strategy games,True
conv-47_qa_25,No,No,True
conv-47_qa_26,"Italy, Turkey, Mexico, Nuuk","Italy, Turkey, Mexico, Nuuk",True
conv-47_qa_27,cooking class,cooking class,True
conv-47_qa_28,"19 June, 2022","19 June, 2022",True
conv-47_qa_29,Cannot answer,Cannot answer,True
conv-47_qa_3,Cannot answer,Cannot answer,True
conv-47_qa_30,Toronto,Canada,False
conv-47_qa_31,Cannot answer,Cannot answer,True
conv-47_qa_32,Cannot answer,Cannot answer,True
conv-47_qa_33,Cannot answer,Cannot answer,True
conv-47_qa_34,Cannot answer,Cannot answer,True
conv-47_qa_35,Nuuk,Nuuk,True
conv-47_qa_36,Cannot answer,Cannot answer,True
conv-47_qa_37,Cannot answer,Cannot answer,True
conv-47_qa_38,He got his dream job and later left his IT job after 3 years,John got his dream job and later left his IT job for a new j,False
conv-47_qa_39,Cannot answer,Cannot answer,True
conv-47_qa_4,Cannot answer,Cannot answer,True
conv-47_qa_40,Cannot answer,Cannot answer,True
conv-47_qa_41,Cannot answer,Cannot answer,True
conv-47_qa_42,Yesterday,"10 August, 2022",False
conv-47_qa_43,Cannot answer,Cannot answer,True
conv-47_qa_44,Cannot answer,Cannot answer,True
conv-47_qa_45,Cannot answer,Cannot answer,True
conv-47_qa_46,Cannot answer,Cannot answer,True
conv-47_qa_47,Yesterday,Yesterday,True
conv-47_qa_48,Cannot answer,Cannot answer,True
conv-47_qa_49,"new headphones, new devices, refurbished gaming desk","new headphones, new devices, refurbished gaming desk",True
conv-47_qa_5,Cannot answer,Cannot answer,True
conv-47_qa_50,Two days ago.,Two days ago,False
conv-47_qa_51,Cannot answer,Cannot answer,True
conv-47_qa_52,Cannot answer,Cannot answer,True
conv-47_qa_53,Cannot answer,Cannot answer,True
conv-47_qa_54,programming seminar,programming seminar,True
conv-47_qa_55,Cannot answer,Cannot answer,True
conv-47_qa_56,Cannot answer,Cannot answer,True
conv-47_qa_57,Cannot answer,Two days ago.,False
conv-47_qa_58,yesterday,yesterday,True
conv-47_qa_59,Cannot answer,"12:37 am on 31 October, 2022",False
conv-47_qa_6,Cannot answer,Cannot answer,True
conv-47_qa_60,"CS:GO, Overwatch, Apex Legends, Fortnite","Fortnite, Overwatch, Apex Legends",False
conv-47_qa_61,Cannot answer,Cannot answer,True
conv-47_qa_62,Cannot answer,Cannot answer,True
conv-47_qa_63,Cannot answer,"5 November, 2022",False
conv-47_qa_64,Cannot answer,Cannot answer,True
conv-47_qa_65,Cannot answer,Cannot answer,True
conv-47_qa_66,"8:57 pm on 7 November, 2022","8:57 pm on 7 November, 2022",True
conv-47_qa_67,Python and C++.,Python and C++,False
conv-47_qa_68,Cannot answer,Cannot answer,True
conv-47_qa_69,Users can add their pup's preferences/needs.,Users can add their pup's preferences/needs.,True
conv-47_qa_7,Cannot answer,Cannot answer,True
conv-47_qa_70,bottle caps,bottle caps,True
conv-47_qa_71,Cannot answer,Cannot answer,True
conv-47_qa_72,Cannot answer,Cannot answer,True
conv-47_qa_73,Cannot answer,a month,False
conv-47_qa_74,Cannot answer,CS:GO,False
conv-47_qa_75,Cannot answer,Cannot answer,True
conv-47_qa_76,voice chat,voice chat,True
conv-47_qa_77,Cannot answer,Cannot answer,True
conv-47_qa_78,a pup,a pup,True
conv-47_qa_79,Ned,Ned,True
conv-47_qa_8,Three dogs.,Three dogs,False
conv-47_qa_80,He fell in love at first sight.,He fell in love at first sight.,True
conv-47_qa_81,Cannot answer,Cannot answer,True
conv-47_qa_82,Cannot answer,Cannot answer,True
conv-47_qa_83,"The megacities of this country impress me, everything there ","The megacities of this country impress me, everything there ",True
conv-47_qa_84,coding,coding,True
conv-47_qa_85,Labrador,Labrador,True
conv-47_qa_86,Pepperoni,Pepperoni,True
conv-47_qa_87,Hawaiian pizza,Hawaiian pizza,True
conv-47_qa_88,Cannot answer,Cannot answer,True
conv-47_qa_89,bought groceries and cooked food for the homeless,bought groceries and cooked food for the homeless,True
conv-47_qa_9,"Max, Daisy and Ned","Max, Daisy and Ned",True
conv-47_qa_90,Raise money for a dog shelter.,raise money for a dog shelter,False
conv-47_qa_91,"tracking inventory, resources, and donations and generating ","tracking inventory, resources, and donations and generating ",False
conv-47_qa_92,a software tool,A software tool.,False
conv-47_qa_93,money,money,True
conv-47_qa_94,Cannot answer,Cannot answer,True
conv-47_qa_95,Liverpool,Liverpool,True
conv-47_qa_96,Manchester City,Manchester City,True
conv-47_qa_97,Manchester City's form and transfer policy.,James thinks Manchester City are in bad form and have a bad ,False
conv-47_qa_98,Catching frisbees in mid-air.,catching frisbees in mid-air,False
conv-47_qa_99,Cannot answer,providing necessary items to those who are less fortunate,False
conv-49_qa_0,Prius,Prius,True
conv-49_qa_1,"His son's ankle, his job, his Prius.",His son's ankle and his Prius.,False
conv-49_qa_10,Cannot answer,camping trip in the outdoors,False
conv-49_qa_100,Cannot answer,his keys,False
conv-49_qa_101,cooking class,cooking class,True
conv-49_qa_102,Cannot answer,Cannot answer,True
conv-49_qa_103,Cannot answer,Cannot answer,True
conv-49_qa_104,Cannot answer,Cannot answer,True
conv-49_qa_105,watercolors,watercolors,True
conv-49_qa_106,Cannot answer,Cannot answer,True
conv-49_qa_107,observing nature and painting what we see,observing nature and painting what we see,True
conv-49_qa_108,Cannot answer,Cannot answer,True
conv-49_qa_109,Cannot answer,Cannot answer,True
conv-49_qa_11,Cannot answer,Cannot answer,True
conv-49_qa_110,Twisted my knee,Twisted my knee,True
conv-49_qa_111,Swimming,Swimming,True
conv-49_qa_112,Cannot answer,Cannot answer,True
conv-49_qa_113,painting,painting,True
conv-49_qa_114,"Acrylic paints, brushes, a canvas/paper, and a palette.","Acrylic paints, brushes, a canvas/paper, and a palette.",True
conv-49_qa_115,watercolor painting,watercolor painting,True
conv-49_qa_116,Cannot answer,Cannot answer,True
conv-49_qa_117,journal and creative writing,Journal and creative writing,False
conv-49_qa_118,Cannot answer,Cannot answer,True
conv-49_qa_119,lifting weights,lifting weights,True
conv-49_qa_12,Cannot answer,Cannot answer,True
conv-49_qa_120,Find a trainer who can help you avoid injuries while you bui,Find a trainer who can help you avoid injuries while you bui,True
conv-49_qa_121,Lake Tahoe,Lake Tahoe,True
conv-49_qa_122,gastritis,gastritis,True
conv-49_qa_123,Cannot answer,Cannot answer,True
conv-49_qa_124,Cannot answer,Cannot answer,True
conv-49_qa_125,"Changed his diet, started walking regularly.","Changed his diet, started walking regularly.",True
conv-49_qa_126,A 1968 Kustom K-200A vintage guitar,A 1968 Kustom K-200A vintage guitar,True
conv-49_qa_127,"The company downsized, and I was part of that.","The company downsized, and I was part of that.",True
conv-49_qa_128,His happy place.,His happy place.,True
conv-49_qa_129,It relied on it for his active lifestyle and road trips.,He relied on it for his active lifestyle and road trips.,False
conv-49_qa_13,Cannot answer,Cannot answer,True
conv-49_qa_130,Cannot answer,Cannot answer,True
conv-49_qa_131,yoga,Yoga,False
conv-49_qa_132,yoga tips,yoga tips,True
conv-49_qa_133,His partner is pregnant.,His partner is pregnant.,True
conv-49_qa_134,family reunion,family reunion,True
conv-49_qa_135,'Bring it on Home','Bring it on Home',True
conv-49_qa_136,himself,himself,True
conv-49_qa_137,A close friend of mine,A close friend of mine,True
conv-49_qa_138,Running in the mornings.,Running in the mornings,False
conv-49_qa_139,put a GPS sensor on your keys,put a GPS sensor on your keys,True
conv-49_qa_14,Cannot answer,Cannot answer,True
conv-49_qa_140,Cannot answer,Cannot answer,True
conv-49_qa_141,Keep trying new things,Keep trying new things,True
conv-49_qa_142,Cannot answer,Cannot answer,True
conv-49_qa_143,Cannot answer,getting married,False
conv-49_qa_144,Cannot answer,Cannot answer,True
conv-49_qa_145,Cannot answer,Cannot answer,True
conv-49_qa_146,Cannot answer,Cannot answer,True
conv-49_qa_147,two ginger snaps a day,two ginger snaps a day,True
conv-49_qa_148,Snowshoeing,snowshoeing,False
conv-49_qa_149,Cannot answer,Cannot answer,True
conv-49_qa_15,Cannot answer,Cannot answer,True
conv-49_qa_150,"swimming, yoga, and walking","Swimming, yoga, and walking.",False
conv-49_qa_151,The Godfather,The Godfather,True
conv-49_qa_152,Yoga,Yoga,True
conv-49_qa_153,a sunset,a sunset,True
conv-49_qa_154,for that drunken night,for that drunken night,True
conv-49_qa_155,peaceful,peaceful,True
conv-49_qa_16,Self-checkout issues.,Self-checkout issues,False
conv-49_qa_17,Cannot answer,last Friday,False
conv-49_qa_18,Cannot answer,Cannot answer,True
conv-49_qa_19,Cannot answer,Cannot answer,True
conv-49_qa_2,Jasper,Jasper,True
conv-49_qa_20,Cannot answer,Cannot answer,True
conv-49_qa_21,"awesome Canadian woman, makes him feel alive","awesome Canadian woman, incredible, makes him feel alive",False
conv-49_qa_22,Cannot answer,Cannot answer,True
conv-49_qa_23,Cannot answer,Cannot answer,True
conv-49_qa_24,Cannot answer,Cannot answer,True
conv-49_qa_25,Cannot answer,Cannot answer,True
conv-49_qa_26,His family.,His family.,True
conv-49_qa_27,Cannot answer,Cannot answer,True
conv-49_qa_28,Cannot answer,Creative writing,False
conv-49_qa_29,Cannot answer,Cannot answer,True
conv-49_qa_3,Cannot answer,Cannot answer,True
conv-49_qa_30,"13 August, 2023","13 August, 2023",True
conv-49_qa_31,Cannot answer,Cannot answer,True
conv-49_qa_32,Cannot answer,Cannot answer,True
conv-49_qa_33,flying over skyscrapers,flying over skyscrapers,True
conv-49_qa_34,Fell off his bike and hurt his ankle in a soccer accident.,Fell off his bike and soccer accident.,False
conv-49_qa_35,"15 August, 2023","15 August, 2023",True
conv-49_qa_36,Cannot answer,Cannot answer,True
conv-49_qa_37,Cannot answer,Cannot answer,True
conv-49_qa_38,Cannot answer,Nature is calming and helps them relax.,False
conv-49_qa_39,Cannot answer,Cannot answer,True
conv-49_qa_4,painting,Cannot answer,False
conv-49_qa_40,Cannot answer,Cannot answer,True
conv-49_qa_41,Cannot answer,Cannot answer,True
conv-49_qa_42,A friend gave him a painting that inspired him.,A friend gave him a painting that inspired him.,True
conv-49_qa_43,Cannot answer,Cannot answer,True
conv-49_qa_44,Landscapes,Landscapes,True
conv-49_qa_45,Cannot answer,Cannot answer,True
conv-49_qa_46,Cannot answer,Cannot answer,True
conv-49_qa_47,Cannot answer,Cannot answer,True
conv-49_qa_48,Cannot answer,Cannot answer,True
conv-49_qa_49,Cannot answer,Cannot answer,True
conv-49_qa_5,Cannot answer,Cannot answer,True
conv-49_qa_50,"Skiing, snowboarding, ice skating, watercolor painting","Skiing, snowboarding, ice skating, watercolor painting, pain",False
conv-49_qa_51,Cannot answer,"Sam struggles with weight, lack of motivation, cravings for ",False
conv-49_qa_52,Cannot answer,Cannot answer,True
conv-49_qa_53,next Saturday,next Saturday,True
conv-49_qa_54,Cannot answer,"health scare, hospital visit, heart palpitation incident",False
conv-49_qa_55,Helping lost tourists.,Helping lost tourists.,True
conv-49_qa_56,Cannot answer,Cannot answer,True
conv-49_qa_57,Cannot answer,Cannot answer,True
conv-49_qa_58,One year ago.,one year ago,False
conv-49_qa_59,"4:07 pm on 14 October, 2023","4:07 pm on 14 October, 2023",True
conv-49_qa_6,1,1,True
conv-49_qa_60,Cannot answer,Cannot answer,True
conv-49_qa_61,work stress,work stress,True
conv-49_qa_62,Sam had gastritis and a weight-related health risk; Evan had,Sam had gastritis; Evan had a heart palpitation incident and,False
conv-49_qa_63,"1:50 pm on 17 October, 2023","17 October, 2023",False
conv-49_qa_64,Cannot answer,Cannot answer,True
conv-49_qa_65,Cannot answer,Cannot answer,True
conv-49_qa_66,last month,last month,True
conv-49_qa_67,Cannot answer,Cannot answer,True
conv-49_qa_68,Cannot answer,Cannot answer,True
conv-49_qa_69,Cannot answer,Cannot answer,True
conv-49_qa_7,painting,painting,True
conv-49_qa_70,Cannot answer,Cannot answer,True
conv-49_qa_71,Cannot answer,Cannot answer,True
