qa_id,user_id,sample_id,question,answer,category,evidence
conv-42_qa_71,conv-42,conv-42,What do both Joanna and Nate appreciate the beauty of?,Nature,1,"[""D11:9"", ""D28:23""]"
conv-42_qa_72,conv-42,conv-42,When did Joanna plan on going to Nate's to watch him play with his turtles?,"10 November, 2022",2,"[""D28:32""]"
conv-42_qa_73,conv-42,conv-42,What state did Joanna visit in summer 2021?,Indiana,3,"[""D28:22""]"
conv-42_qa_74,conv-42,conv-42,What recommendations has Nate received from Joanna?,"""Eternal Sunshine of the Spotless Mind"" movie, ""A Court of Thorns and Roses"" book, pointers for making living room comfy, starting a cork board for memories, ""Little Women"" movie",1,"[""D1:16"", ""D3:17"", ""D15:14"", ""D15:15"", ""D19:15"", ""D19:16"", ""D23:26""]"
conv-42_qa_75,conv-42,conv-42,What are Nate's favorite desserts?,"coconut milk icecream, dairy-free chocolate cake with berries, chocolate and mixed-berry icecream, dairy-free chocolate mousse",1,"[""D3:4"", ""D3:10"", ""D21:10"", ""D3:12""]"
conv-42_qa_76,conv-42,conv-42,How has Nate tried to disburse his vegan ice-cream recipes?,"teaching others, cooking show",1,"[""D18:8"", ""D21:4""]"
conv-42_qa_77,conv-42,conv-42,When did Nate win his second tournament?,"The week before 2 May, 2022.",2,"[""D10:4""]"
conv-42_qa_78,conv-42,conv-42,How many video game tournaments has Nate participated in?,nine,1,"[""D1:3"", ""D6:7"", ""D10:4"", ""D14:8"", ""D17:1"", ""D19:1"", ""D20:1"", ""D22:2"", ""D27:1""]"
conv-42_qa_79,conv-42,conv-42,How many screenplays has Joanna written?,three,1,"[""D2:3"", ""D4:10"", ""D5:1"", ""D12:13"", ""D12:14""]"
conv-42_qa_80,conv-42,conv-42,How many tournaments has Nate won?,seven,1,"[""D1:3"", ""D10:4"", ""D14:8"", ""D17:1"", ""D19:1"", ""D22:2"", ""D27:1""]"
conv-42_qa_81,conv-42,conv-42,What recipes has Joanna made?,"dairy free vanilla cake with strawberry filling and coconut cream frosting, parfait, strawberry chocolate cake, chocolate coconut cupcakes, chocolate raspberry tart, chocolate cake with raspberries, blueberry cheesecake bars",1,"[""D10:9"", ""D10:11"", ""D19:8"", ""D20:2"", ""D20:10"", ""D21:11"", ""D22:1"", ""D21:3"", ""D21:17""]"
conv-42_qa_82,conv-42,conv-42,What recipes has Nate made?,"coconut milk icecream, chocolate and vanilla swirl",1,"[""D3:4"", ""D4:3""]"
conv-42_qa_83,conv-42,conv-42,What are the skills that Nate has helped others learn?,"coconut milk ice cream recipe, reset high scores, tips to improve gaming skills",1,"[""D18:8"", ""D26:12"", ""D14:16""]"
conv-42_qa_84,conv-42,conv-42,Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.,No; because both of them faced setbacks in their career,3,"[""D20:1"", ""D21:1""]"
conv-42_qa_85,conv-42,conv-42,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,filmmaker.,3,"[""D29:1""]"
conv-42_qa_86,conv-42,conv-42,When did Nate take his turtles to the beach?,"10 November, 2022",2,"[""D29:6""]"
conv-42_qa_87,conv-42,conv-42,What state did Nate visit?,Florida,3,"[""D29:6""]"
conv-42_qa_88,conv-42,conv-42,What is one of Joanna's favorite movies?,"""Eternal Sunshineof the Spotless Mind""",4,"[""D1:18"", ""D"", ""D1:20""]"
conv-42_qa_89,conv-42,conv-42,What color did Nate choose for his hair?,purple,4,"[""D7:1"", ""D7:3""]"
conv-42_qa_90,conv-42,conv-42,What is Nate's favorite movie trilogy?,Lord of the Rings,4,"[""D9:12""]"
conv-42_qa_91,conv-42,conv-42,What is Nate's favorite book series about?,dragons,4,"[""D9:14""]"
conv-42_qa_92,conv-42,conv-42,What kind of lighting does Nate's gaming room have?,red and purple lighting,4,"[""D10:2""]"
conv-42_qa_93,conv-42,conv-42,What game was the second tournament that Nate won based on?,Street Fighter,4,"[""D10:4"", ""D10:6""]"
conv-42_qa_94,conv-42,conv-42,What is Joanna's third screenplay about?,"loss, identity, and connection",4,"[""D12:13"", ""D12:14""]"
conv-42_qa_95,conv-42,conv-42,What is Nate's favorite video game?,Xenoblade Chronicles,4,"[""D27:22"", ""D27:23""]"
conv-42_qa_96,conv-42,conv-42,What type of movies does Nate enjoy watching the most?,action and sci-fi,4,"[""D1:13""]"
conv-42_qa_97,conv-42,conv-42,"What did Joanna just finish last Friday on 23 January, 2022?",screenplay,4,"[""D2:3""]"
conv-42_qa_98,conv-42,conv-42,What genre is Joanna's first screenplay?,drama and romance,4,"[""D2:5""]"
conv-42_qa_99,conv-42,conv-42,What are Joanna's plans for her finished screenplay in January 2022?,submit it to film festivals and get producers and directors to check it out,4,"[""D2:7""]"
conv-42_qa_100,conv-42,conv-42,For how long has Nate had his turtles?,3 years,4,"[""D2:12""]"
conv-42_qa_101,conv-42,conv-42,What did Nate think of the coconut milk ice cream he made?,"Super good, rich and creamy",4,"[""D3:6""]"
conv-42_qa_102,conv-42,conv-42,Which dairy-free dessert flavors does Nate enjoy?,chocolate and mixed berry,4,"[""D3:10""]"
conv-42_qa_103,conv-42,conv-42,"What did Joanna recently watch and recommend to Nate on February 7, 2022?","""Little Women""",4,"[""D3:17""]"
conv-42_qa_104,conv-42,conv-42,"What is ""Little Women"" about according to Joanna?","Sisterhood, love, and reaching for your dreams",4,"[""D3:17""]"
conv-42_qa_105,conv-42,conv-42,"What flavor of ice cream did Nate make for his friend on 25 February, 2022?",chocolate and vanilla swirl,4,"[""D4:3""]"
conv-42_qa_106,conv-42,conv-42,"What inspired Joanna's new screenplay on 25 February, 2022?",personal experiences and her own journey of self-discovery,4,"[""D4:16""]"
conv-42_qa_107,conv-42,conv-42,Why does Nate like turtles as pets?,Their slow pace and calming nature,4,"[""D5:6""]"
conv-42_qa_108,conv-42,conv-42,How does Nate describe the process of taking care of turtles?,"Not tough; keep their area clean, feed them properly, give them enough light.",4,"[""D5:8""]"
conv-42_qa_109,conv-42,conv-42,What was Joanna's audition for?,writing gig,4,"[""D6:2""]"
conv-42_qa_110,conv-42,conv-42,Why did Nate choose the hair color he did?,Bright and bold - like him,4,"[""D7:5""]"
conv-42_qa_111,conv-42,conv-42,What are the main ingredients of the ice cream recipe shared by Nate?,"Coconut milk, vanilla extract, sugar, salt",4,"[""D8:19""]"
conv-42_qa_112,conv-42,conv-42,What is Joanna's project called in the writers group?,"""Finding Home""",4,"[""D9:3""]"
conv-42_qa_113,conv-42,conv-42,What is Nate's favorite genre of movies?,Fantasy and sci-fi,4,"[""D9:10""]"
conv-42_qa_114,conv-42,conv-42,What kind of books does Nate enjoy?,Adventures and magic,4,"[""D9:14""]"
conv-42_qa_115,conv-42,conv-42,What kind of films does Joanna enjoy?,Dramas and emotionally-driven films,4,"[""D9:9""]"
conv-42_qa_116,conv-42,conv-42,Which activity helps Nate escape and stimulates his imagination?,watching fantasy and sci-fi movies,4,"[""D9:10""]"
conv-42_qa_117,conv-42,conv-42,What filling did Joanna use in the cake she made recently in May 2022?,strawberry,4,"[""D10:11""]"
conv-42_qa_118,conv-42,conv-42,What kind of frosting did Joanna use on the cake she made recently in May 2022?,coconut cream,4,"[""D10:11""]"
conv-42_qa_119,conv-42,conv-42,What does Nate feel he could do when out in cool places like Whispering Falls?,write a whole movie,4,"[""D11:13""]"
conv-42_qa_120,conv-42,conv-42,What creative activity does Nate joke about pursuing after being inspired by their hikes with Jo?,Start thinking about a drama and publish a screenplay,4,"[""D11:16""]"
conv-42_qa_121,conv-42,conv-42,Who invited Nate to join her on the trails sometime?,Joanna,4,"[""D11:17""]"
conv-42_qa_122,conv-42,conv-42,"What did Nate do for Joanna on 25 May, 2022?",get her a stuffed animal,4,"[""D13:9""]"
conv-42_qa_123,conv-42,conv-42,How does Nate describe the stuffed animal he got for Joanna?,A stuffed animal to remind you of the good vibes,4,"[""D13:11""]"
conv-42_qa_124,conv-42,conv-42,What event is Nate organizing in June 2022?,A gaming party,4,"[""D14:20""]"
conv-42_qa_125,conv-42,conv-42,Who did Nate plan to invite to his gaming party in June 2022?,"Tournament friends, old friends, teammates",4,"[""D14:22""]"
conv-42_qa_126,conv-42,conv-42,What special items did Nate get for everyone at his gaming party?,Custom controller decorations,4,"[""D14:24""]"
conv-42_qa_127,conv-42,conv-42,What did Joanna write yesterday that appeared on the big screen?,screenplay bits,4,"[""D15:1""]"
conv-42_qa_128,conv-42,conv-42,What superhero is Joanna a fan of?,Spider-Man,4,"[""D15:3""]"
conv-42_qa_129,conv-42,conv-42,Which superhero toy figure does Nate share a photo of?,Iron Man,4,"[""D15:4""]"
conv-42_qa_130,conv-42,conv-42,What is displayed on Joanna's cork board for motivation and creativity?,"inspiring quotes, photos, and little keepsakes",4,"[""D15:7""]"
conv-42_qa_131,conv-42,conv-42,What does the photo on Joanna's cork board remind her of?,love and encouragement from her family,4,"[""D15:11""]"
conv-42_qa_132,conv-42,conv-42,What did Nate make and share with his vegan diet group?,vegan ice cream,4,"[""D16:8""]"
conv-42_qa_133,conv-42,conv-42,How many people attended the gaming party hosted by Nate in June 2022?,7,4,"[""D16:6""]"
conv-42_qa_134,conv-42,conv-42,What recipe Nate offer to share with Joanna?,vegan ice cream recipe,4,"[""D16:10""]"
conv-42_qa_135,conv-42,conv-42,What did Joanna plan to do with the recipe Nate promised to share?,make it for her family,4,"[""D16:11""]"
conv-42_qa_136,conv-42,conv-42,"How many video game tournaments has Nate won by July 10, 2022?",Four,4,"[""D17:1""]"
conv-42_qa_137,conv-42,conv-42,Where did Joanna go for a road trip for research?,Woodhaven,4,"[""D17:4""]"
conv-42_qa_138,conv-42,conv-42,What did Joanna discover at the library in Woodhaven?,cool old book collection,4,"[""D17:4""]"
conv-42_qa_139,conv-42,conv-42,What specific themes are explored in Joanna's new book?,"loss, redemption, and forgiveness",4,"[""D17:16""]"
conv-42_qa_140,conv-42,conv-42,What inspired Joanna's new script in July 2022?,Woodhaven's interesting past and people,4,"[""D17:8""]"
conv-42_qa_141,conv-42,conv-42,What did Nate do while Joanna was on her road trip?,Won a video game tournament,4,"[""D17:2""]"
conv-42_qa_142,conv-42,conv-42,What does Nate do that he loves and can make money from?,Competing in video game tournaments,4,"[""D17:1""]"
conv-42_qa_143,conv-42,conv-42,How did Joanna feel when someone wrote her a letter after reading her blog post?,Touched,4,"[""D18:5""]"
conv-42_qa_144,conv-42,conv-42,What kind of impact does Joanna hope to have with her writing?,share her stories and hopefully have an impact,4,"[""D18:7""]"
conv-42_qa_145,conv-42,conv-42,What kind of content did Joanna share that someone wrote her a letter about?,A blog post about a hard moment in her life,4,"[""D18:5""]"
conv-42_qa_146,conv-42,conv-42,What motivates Joanna to keep writing even on tough days?,Knowing that her writing can make a difference,4,"[""D18:7""]"
conv-42_qa_147,conv-42,conv-42,What type of ice cream does Joanna mention that Nate makes and is delicious?,Coconut milk ice cream,4,"[""D18:9""]"
conv-42_qa_148,conv-42,conv-42,How did Nate feel about sharing his love for dairy-free desserts with Joanna?,Happy to share,4,"[""D18:12""]"
conv-42_qa_149,conv-42,conv-42,What did Joanna share with her writers group in August 2022?,her book,4,"[""D19:6""]"
conv-42_qa_150,conv-42,conv-42,How did Joanna celebrate after sharing her book with her writers group?,making a delicious treat,4,"[""D19:8""]"
conv-42_qa_151,conv-42,conv-42,How did Nate celebrate winning the international tournament?,Taking time off to chill with pets,4,"[""D19:9""]"
conv-42_qa_152,conv-42,conv-42,Why is Joanna experimenting with dairy-free options in her dessert recipes?,lactose intolerance,4,"[""D20:10""]"
conv-42_qa_153,conv-42,conv-42,What substitution does Nate suggest for butter in dairy-free baking?,dairy-free margarine or coconut oil,4,"[""D20:15""]"
conv-42_qa_154,conv-42,conv-42,What type of show did Nate host where he taught vegan ice cream recipes?,a cooking show,4,"[""D21:4""]"
conv-42_qa_155,conv-42,conv-42,What is Nate's favorite dish from the cooking show he hosted?,Coconut milk ice cream,4,"[""D21:6""]"
conv-42_qa_156,conv-42,conv-42,What is one of Nate's favorite dairy-free treats besides coconut milk ice cream?,dairy-free chocolate mousse,4,"[""D21:10""]"
conv-42_qa_157,conv-42,conv-42,"What dessert did Joanna share a photo of that has an almond flour crust, chocolate ganache, and fresh raspberries?",chocolate raspberry tart,4,"[""D21:11""]"
conv-42_qa_158,conv-42,conv-42,What kind of cake did Joanna share a photo of that she likes making for birthdays and special days?,chocolate cake with raspberries,4,"[""D21:13""]"
conv-42_qa_159,conv-42,conv-42,"What two main ingredients are part of the dessert Joanna shared a photo of with blueberries, coconut milk, and a gluten-free crust?",blueberries and coconut milk,4,"[""D21:17""]"
conv-42_qa_160,conv-42,conv-42,"What movie did Nate recently watch and enjoy on October 6, 2022?",Little Women,4,"[""D22:8""]"
conv-42_qa_161,conv-42,conv-42,What did Joanna make for one of the ladies at her writing club?,a bookmark,4,"[""D22:19""]"
conv-42_qa_162,conv-42,conv-42,"What game did Nate play at the game convention he attended on 9 October, 2022?",Catan,4,"[""D23:7""]"
conv-42_qa_163,conv-42,conv-42,What movie has Nate recently seen that blew his mind?,"""Inception""",4,"[""D23:17""]"
conv-42_qa_164,conv-42,conv-42,"What game has Nate been playing nonstop with a futuristic setting and gameplay on October 9, 2022?",Cyberpunk 2077,4,"[""D23:17""]"
conv-42_qa_165,conv-42,conv-42,What did Nate share a photo of when mentioning unwinding at home?,a bookcase filled with dvds and movies,4,"[""D23:15""]"
conv-42_qa_166,conv-42,conv-42,How did Joanna describe the classic movie he watched?,gripping with great actors,4,"[""D23:18""]"
conv-42_qa_167,conv-42,conv-42,What does Joanna recommend to make a living room comfy like hers?,"couch for multiple people, fluffy blanket, lights that can be dimmed",4,"[""D23:26""]"
conv-42_qa_168,conv-42,conv-42,What helps Joanna stay focused and brings her joy?,stuffed animal dog named Tilly,4,"[""D24:8""]"
conv-42_qa_169,conv-42,conv-42,What does Joanna do while she writes?,have a stuffed animal dog named Tilly with her,4,"[""D24:4""]"
conv-42_qa_170,conv-42,conv-42,Why did Joanna name the stuffed animal dog Tilly?,after a dog she had in Michigan,4,"[""D24:6""]"
conv-42_qa_171,conv-42,conv-42,What does Joanna do after receiving a rejection from a production company?,keep grinding and moving ahead,4,"[""D24:14""]"
conv-42_qa_172,conv-42,conv-42,How does Nate feel about Joanna's ability to bounce back from setbacks?,respect Joanna for being able to bounce back,4,"[""D24:15""]"
conv-42_qa_173,conv-42,conv-42,What encouragement does Nate give to Joanna after her setback?,"rejections don't define her, keep grinding and she'll find the perfect opportunity",4,"[""D24:13""]"
conv-42_qa_174,conv-42,conv-42,What does Nate rely on for cheer and joy?,his turtles,4,"[""D24:3""]"
conv-42_qa_175,conv-42,conv-42,What does Joanna use to remember her dog from Michigan?,naming a stuffed animal dog Tilly,4,"[""D24:6""]"
conv-42_qa_176,conv-42,conv-42,"What did Joanna contribute to that was shown on the big screen on the Sunday before October 25, 2022?",movie script,4,"[""D25:2""]"
conv-42_qa_177,conv-42,conv-42,What inspires Joanna to create drawings of her characters?,visuals to help bring the characters alive in her head so she can write better,4,"[""D25:8""]"
conv-42_qa_178,conv-42,conv-42,Where does Joanna get her ideas for the characters from?,"people she knows, things she saw, her imagination",4,"[""D25:10""]"
conv-42_qa_179,conv-42,conv-42,"How did Joanna feel on October 25, 2022 about seeing her characters come alive on the big screen?",surreal and cool,4,"[""D25:6""]"
conv-42_qa_180,conv-42,conv-42,What type of diet do Nate's turtles have?,"combination of vegetables, fruits, and insects",4,"[""D25:19""]"
conv-42_qa_181,conv-42,conv-42,What ingredient did Nate use to make the ice cream lactose-free?,coconut milk,4,"[""D26:18""]"
conv-42_qa_182,conv-42,conv-42,What did Joanna find in old notebooks last week that prompted her to reflect on her progress as a writer?,early writings,4,"[""D26:5""]"
conv-42_qa_183,conv-42,conv-42,"What game is Nate currently playing and recommends to others on November 7, 2022?","""Xenoblade Chronicles""",4,"[""D27:23""]"
conv-42_qa_184,conv-42,conv-42,What did Joanna receive from her brother that brought back childhood memories?,a handwritten letter,4,"[""D27:29""]"
conv-42_qa_185,conv-42,conv-42,"What is the type of game ""Xenoblade Chronicles"" that Nate is playing?",fantasy RPG,4,"[""D27:23""]"
conv-42_qa_186,conv-42,conv-42,"What dish did Nate make on 9 November, 2022?",Homemade coconut ice cream,4,"[""D28:1""]"
conv-42_qa_187,conv-42,conv-42,"What project is Joanna working on in her notebook on November 9, 2022?",A suspenseful thriller set in a small Midwestern town,4,"[""D28:12""]"
conv-42_qa_188,conv-42,conv-42,"What is Nate creating for YouTube on 9 November, 2022?",gaming content,4,"[""D28:13""]"
conv-42_qa_189,conv-42,conv-42,What inspired Nate to start making gaming videos?,Love of gaming and connecting with others who enjoy it too,4,"[""D28:15""]"
conv-42_qa_190,conv-42,conv-42,What new content is Nate creating for YouTube?,Gaming videos,4,"[""D28:13""]"
conv-42_qa_191,conv-42,conv-42,What advice does Joanna give to Nate about making YouTube videos?,Watch other people's videos to understand what the audience likes,4,"[""D28:18""]"
conv-42_qa_192,conv-42,conv-42,What did Joanna take a picture of near Fort Wayne last summer?,Sunset,4,"[""D28:22""]"
conv-42_qa_193,conv-42,conv-42,What inspired Joanna to take a picture of the sunset in the field near Fort Wayne?,The incredible sunset and surrounding beauty,4,"[""D28:22""]"
conv-42_qa_194,conv-42,conv-42,Why did Nate get a third turtle?,He saw another one at a pet store and wanted to get it,4,"[""D28:25""]"
conv-42_qa_195,conv-42,conv-42,What does Nate want to do when he goes over to Joanna's place?,Watch one of Joanna's movies together or go to the park,4,"[""D28:29""]"
conv-42_qa_196,conv-42,conv-42,What did Nate take to the beach in Tampa?,turtles,4,"[""D29:6""]"
conv-42_qa_197,conv-42,conv-42,What does Nate love most about having turtles?,They make him feel calm and don't require much looking after,4,"[""D29:8""]"
conv-42_qa_198,conv-42,conv-42,What did Nate share a photo of as a part of his experimentation in November 2022?,colorful bowls of coconut milk ice cream,4,"[""D29:10""]"
conv-42_qa_199,conv-42,conv-42,What color did Joanna choose for her hair?,purple,5,"[""D7:1"", ""D7:3""]"
conv-42_qa_200,conv-42,conv-42,What is Joanna's favorite movie trilogy?,Lord of the Rings,5,"[""D9:12""]"
conv-42_qa_201,conv-42,conv-42,What is Joanna's favorite book series about?,dragons,5,"[""D9:14""]"
conv-42_qa_202,conv-42,conv-42,What kind of lighting does Joanna's gaming room have?,red and purple lighting,5,"[""D10:2""]"
conv-42_qa_203,conv-42,conv-42,What game was the second tournament that Joanna won based on?,Street Fighter,5,"[""D10:4"", ""D10:6""]"
conv-42_qa_204,conv-42,conv-42,What is Nate's third screenplay about?,"loss, identity, and connection",5,"[""D12:13"", ""D12:14""]"
conv-42_qa_205,conv-42,conv-42,What type of movies does Nate hate watching the most?,action and sci-fi,5,"[""D1:13""]"
conv-42_qa_206,conv-42,conv-42,What genre is Joanna's first novella?,drama and romance,5,"[""D2:5""]"
conv-42_qa_207,conv-42,conv-42,What are Nate's plans for his finished screenplay in January 2022?,submit it to film festivals and get producers and directors to check it out,5,"[""D2:7""]"
conv-42_qa_208,conv-42,conv-42,For how long has Nate had his snakes?,3 years,5,"[""D2:12""]"
conv-42_qa_209,conv-42,conv-42,What did Nate think of the caramel ice cream he made?,"Super good, rich and creamy",5,"[""D3:6""]"
conv-42_qa_210,conv-42,conv-42,"What flavor of cake did Nate make for his friend on 25 February, 2022?",chocolate and vanilla swirl,5,"[""D4:3""]"
conv-42_qa_211,conv-42,conv-42,What was Nate's audition for?,writing gig,5,"[""D6:2""]"
conv-42_qa_212,conv-42,conv-42,Why did Joanna choose the hair color she did?,Bright and bold - like her,5,"[""D7:5""]"
conv-42_qa_213,conv-42,conv-42,What are the main ingredients of the ice cream recipe shared by Joanna?,"Coconut milk, vanilla extract, sugar, salt",5,"[""D8:19""]"
conv-42_qa_214,conv-42,conv-42,What is Nate's project called in the writers group?,"""Finding Home""",5,"[""D9:3""]"
conv-42_qa_215,conv-42,conv-42,Which activity helps Nate escape and numbs his mind?,watching fantasy and sci-fi movies,5,"[""D9:10""]"
conv-42_qa_216,conv-42,conv-42,What filling did Nate use in the cake he made recently in May 2022?,strawberry,5,"[""D10:11""]"
conv-42_qa_217,conv-42,conv-42,Who did Joanna plan to invite to her gaming party in June 2022?,"Tournament friends, old friends, teammates",5,"[""D14:22""]"
conv-42_qa_218,conv-42,conv-42,What special items did Joanna get for everyone at her gaming party?,Custom controller decorations,5,"[""D14:24""]"
conv-42_qa_219,conv-42,conv-42,What supervillain is Joanna a fan of?,Spider-Man,5,"[""D15:3""]"
conv-42_qa_220,conv-42,conv-42,Which superhero toy figure does Joanna share a photo of?,Iron Man,5,"[""D15:4""]"
conv-42_qa_221,conv-42,conv-42,What did Joanna make and share with her vegan diet group?,vegan ice cream,5,"[""D16:8""]"
conv-42_qa_222,conv-42,conv-42,How many people attended the gaming party hosted by Joanna in June 2022?,7,5,"[""D16:6""]"
conv-42_qa_223,conv-42,conv-42,Where did Nate go for a road trip for research?,Woodhaven,5,"[""D17:4""]"
conv-42_qa_224,conv-42,conv-42,What did Joanna discover at the museum in Woodhaven?,cool old book collection,5,"[""D17:4""]"
conv-42_qa_225,conv-42,conv-42,What specific themes are explored in Nate's new book?,"loss, redemption, and forgiveness",5,"[""D17:16""]"
conv-42_qa_226,conv-42,conv-42,How did Nate feel when someone wrote him a letter after reading his blog post?,Touched,5,"[""D18:5""]"
conv-42_qa_227,conv-42,conv-42,What kind of impact does Joanna hope to have with her painting?,share her stories and hopefully have an impact,5,"[""D18:7""]"
conv-42_qa_228,conv-42,conv-42,What did Nate share with his writers group in August 2022?,her book,5,"[""D19:6""]"
conv-42_qa_229,conv-42,conv-42,How did Nate celebrate after sharing his book with a writers group?,making a delicious treat,5,"[""D19:8""]"
conv-42_qa_230,conv-42,conv-42,How did Joanna celebrate winning the international tournament?,Taking time off to chill with pets,5,"[""D19:9""]"
conv-42_qa_231,conv-42,conv-42,What substitution does Nate suggest for sugar in dairy-free baking?,dairy-free margarine or coconut oil,5,"[""D20:15""]"
conv-42_qa_232,conv-42,conv-42,What type of show did Joanna host where she taught vegan ice cream recipes?,a cooking show,5,"[""D21:4""]"
conv-42_qa_233,conv-42,conv-42,What is Joanna's favorite dish from the cooking show she hosted?,Coconut milk ice cream,5,"[""D21:6""]"
conv-42_qa_234,conv-42,conv-42,"What dessert did Nate share a photo of that has an almond flour crust, chocolate ganache, and fresh raspberries?",chocolate raspberry tart,5,"[""D21:11""]"
conv-42_qa_235,conv-42,conv-42,"What two main ingredients are part of the dessert Nate shared a photo of with blueberries, coconut milk, and a gluten-free crust?",blueberries and coconut milk,5,"[""D21:17""]"
conv-42_qa_236,conv-42,conv-42,"What movie did Joanna recently watch and enjoy on October 6, 2022?",Little Women,5,"[""D22:8""]"
conv-42_qa_237,conv-42,conv-42,What did Nate make for one of the ladies at his writing club?,a bookmark,5,"[""D22:19""]"
conv-42_qa_238,conv-42,conv-42,"What game has Joanna been playing nonstop with a futuristic setting and gameplay on October 9, 2022?",Cyberpunk 2077,5,"[""D23:17""]"
conv-42_qa_239,conv-42,conv-42,How did Nate describe the classic movie he watched?,gripping with great actors,5,"[""D23:18""]"
conv-42_qa_240,conv-42,conv-42,What does Nate recommend to make a living room comfy like his?,"couch for multiple people, fluffy blanket, lights that can be dimmed",5,"[""D23:26""]"
conv-42_qa_241,conv-42,conv-42,What helps Joanna stay distracted and brings her sadness?,stuffed animal dog named Tilly,5,"[""D24:8""]"
conv-42_qa_242,conv-42,conv-42,What does Nate do while he writes?,have a stuffed animal dog named Tilly with him,5,"[""D24:4""]"
conv-42_qa_243,conv-42,conv-42,What does Nate do after receiving a rejection from a production company?,keep grinding and moving ahead,5,"[""D24:14""]"
conv-42_qa_244,conv-42,conv-42,What does Joanna rely on for cheer and joy?,her turtles,5,"[""D24:3""]"
conv-42_qa_245,conv-42,conv-42,What does Nate use to remember his dog from Michigan?,stuffed animal dog Tilly,5,"[""D24:6""]"
conv-42_qa_246,conv-42,conv-42,What inspires Joanna to create music for her characters?,visuals to help bring the characters alive in her head so she can write better,5,"[""D25:8""]"
conv-42_qa_247,conv-42,conv-42,What type of diet do Joanna's turtles have?,"combination of vegetables, fruits, and insects",5,"[""D25:19""]"
conv-42_qa_248,conv-42,conv-42,What did Nate find in old notebooks last week that prompted him to reflect on her progress as a writer?,early writings,5,"[""D26:5""]"
conv-42_qa_249,conv-42,conv-42,"What game is Joanna currently playing and recommends to others on November 7, 2022?","""Xenoblade Chronicles""",5,"[""D27:23""]"
conv-42_qa_250,conv-42,conv-42,What did Nate receive from his brother that brought back childhood memories?,a handwritten letter,5,"[""D27:29""]"
conv-42_qa_251,conv-42,conv-42,"What is the type of game ""Xenoblade Chronicles"" that Joanna is playing?",fantasy RPG,5,"[""D27:23""]"
conv-42_qa_252,conv-42,conv-42,"What project is Nate working on in his notebook on November 9, 2022?",A suspenseful thriller set in a small Midwestern town,5,"[""D28:12""]"
conv-42_qa_253,conv-42,conv-42,"What is Joanna creating for YouTube on 9 November, 2022?",gaming content,5,"[""D28:13""]"
conv-42_qa_254,conv-42,conv-42,What inspired Joanna to start making gaming videos?,Love of gaming and connecting with others who enjoy it too,5,"[""D28:15""]"
conv-42_qa_255,conv-42,conv-42,What new content is Nate creating for television?,Gaming videos,5,"[""D28:13""]"
conv-42_qa_256,conv-42,conv-42,What did Nate take a picture of near Fort Wayne last summer?,Sunset,5,"[""D28:22""]"
conv-42_qa_257,conv-42,conv-42,Why did Joanna get a third turtle?,She saw another one at a pet store and wanted to get it,5,"[""D28:25""]"
conv-42_qa_258,conv-42,conv-42,What did Joanna take to the beach in Tampa?,turtles,5,"[""D29:6""]"
conv-42_qa_259,conv-42,conv-42,What does Joanna love most about having turtles?,They make her feel calm and don't require much looking after,5,"[""D29:8""]"
conv-43_qa_0,conv-43,conv-43,what are John's goals with regards to his basketball career?,"improve shooting percentage, win a championship",1,"[""D1:9"", ""D6:15"", ""D11:17""]"
conv-43_qa_1,conv-43,conv-43,What are John's goals for his career that are not related to his basketball skills?,"get endorsements, build his brand, do charity work",1,"[""D6:15"", ""D11:17""]"
conv-43_qa_2,conv-43,conv-43,What items does John collect?,"sneakers, fantasy movie DVDs, jerseys",1,"[""D1:15"", ""D12:18"", ""D27:20""]"
conv-43_qa_3,conv-43,conv-43,Would Tim enjoy reading books by C. S. Lewis or John Greene?,C. S.Lewis,3,"[""D1:14"", ""D1:16"", ""D1:18""]"
conv-43_qa_4,conv-43,conv-43,What books has Tim read?,"Harry Potter, Game of Thrones, the Name of the Wind, The Alchemist, The Hobbit, A Dance with Dragons, and the Wheel of Time.",1,"[""D1:14"", ""D2:7"", ""D6:8"", ""D11:26"", ""D20:21"", ""D26:36"", ""D22:13""]"
conv-43_qa_5,conv-43,conv-43,"Based on Tim's collections, what is a shop that he would enjoy visiting in New York city?",House of MinaLima,3,"[""D2:9""]"
conv-43_qa_6,conv-43,conv-43,In which month's game did John achieve a career-high score in points?,June 2023,2,"[""D3:1""]"
conv-43_qa_7,conv-43,conv-43,Which geographical locations has Tim been to?,"California, London, the Smoky Mountains",1,"[""D1:18"", ""D3:2"", ""D14:16""]"
conv-43_qa_8,conv-43,conv-43,Which outdoor gear company likely signed up John for an endorsement deal?,Under Armour,3,"[""D3:15"", ""D25:2""]"
conv-43_qa_9,conv-43,conv-43,Which endorsement deals has John been offered?,"basketball shoes and gear deal with Nike, potential sponsorship with Gatorade, Moxie a popular beverage company, outdoor gear company",1,"[""D3:13"", ""D3:15"", ""D25:2"", ""D29:4""]"
conv-43_qa_10,conv-43,conv-43,When was John in Seattle for a game?,"early August, 2023",2,"[""D3:19"", ""D5:2""]"
conv-43_qa_11,conv-43,conv-43,What sports does John like besides basketball?,surfing,1,"[""D1:7"", ""D2:14"", ""D3:1"", ""D3:25""]"
conv-43_qa_12,conv-43,conv-43,What year did John start surfing?,2018,2,"[""D3:27""]"
