qa_id,category,question,gold_memory_ids,retrieved_memory_ids,hit1,hit5,hit10,rr
conv-41_qa_187,5,Who did John work with to raise awareness and funds for animal welfare?,D29:10,D29:11;D5:2;D29:10;D22:22;D12:3;D32:6;D29:4;D16:1;D10:10;D24:7,0,1,1,0.3333333333333333
conv-41_qa_188,5,What recognition did John receive at the homeless shelter in August 2023?,D29:1,D12:18;D27:2;D7:3;D22:22;D8:21;D8:22;D29:1;D2:1;D26:1;D15:18,0,0,1,0.14285714285714285
conv-41_qa_189,5,"What is the name of John's puppy he got two weeks before August 11, 2023?",D30:1,D30:1;D17:15;D18:14;D18:15;D2:1;D20:14;D2:14;D9:2;D2:4;D10:1,1,1,1,1.0
conv-41_qa_190,5,How does Maria describe the camping trip with Max?,D30:6,D30:6;D26:4;D8:32;D18:2;D10:12;D25:8;D20:35;D14:22;D30:7;D18:11,1,1,1,1.0
conv-41_qa_191,5,What is the name of Maria's second kitten?,D31:4,D22:20;D11:38;D11:9;D10:4;D15:26;D32:13;D3:8;D15:9;D9:16;D12:4,0,0,0,0.0
conv-41_qa_192,5,How is John's new puppy adjusting to its new home?,D31:10,D25:2;D24:3;D2:6;D19:4;D2:9;D24:4;D18:14;D13:2;D26:35;D18:15,0,0,0,0.0
conv-42_qa_0,3,Is it likely that Nate has friends besides Joanna?,D1:7,D28:33;D25:29;D15:17;D23:30;D21:20;D12:13;D13:21;D6:13;D14:27;D15:16,0,0,0,0.0
conv-42_qa_1,1,What kind of interests do Joanna and Nate share?,D10:9;D1:10;D1:11;D1:12;D20:2;D3:4;D4:9,D14:15;D1:12;D23:4;D28:33;D25:29;D21:16;D3:13;D18:12;D15:17;D23:30,0,1,1,0.5
conv-42_qa_2,2,"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",D1:18,D22:22;D31:16;D28:33;D25:29;D1:8;D28:31;D21:14;D8:5;D26:11;D15:5,0,0,0,0.0
conv-42_qa_3,2,When did Nate win his first video game tournament?,D1:3,D1:3;D26:4;D6:7;D28:2;D22:2;D14:8;D24:11;D22:22;D17:1;D1:3,1,1,1,1.0
conv-42_qa_4,3,What pets wouldn't cause any discomfort to Joanna?,D2:23,D24:15;D28:27;D28:33;D25:29;D31:15;D21:20;D12:13;D28:29;D13:21;D6:13,0,0,0,0.0
conv-42_qa_5,1,What are Joanna's hobbies?,D1:10;D2:25,D1:10;D1:9;D28:33;D2:18;D25:29;D21:20;D12:13;D13:21;D6:13;D20:5,1,1,1,1.0
conv-42_qa_6,2,How long has Nate had his first two turtles?,D2:12,D25:26;D8:14;D26:10;D22:13;D15:17;D25:27;D27:8;D23:30;D25:15;D1:1,0,0,0,0.0
conv-42_qa_7,2,When did Joanna finish her first screenplay?,D2:3,D22:22;D28:33;D25:29;D21:14;D4:12;D4:10;D21:20;D12:13;D13:8;D16:20,0,0,0,0.0
conv-42_qa_8,2,When did Nate get his first two turtles?,D2:12,D22:22;D25:26;D8:14;D26:10;D15:17;D25:27;D27:8;D23:30;D25:15;D1:15,0,0,0,0.0
conv-42_qa_9,2,What major achievement did Joanna accomplish in January 2022?,D2:3,D22:22;D14:20;D27:15;D5:4;D28:33;D25:29;D21:14;D12:5;D21:20;D12:13,0,0,0,0.0
conv-42_qa_10,1,What emotions is Joanna feeling about  the screenplay she submitted?,D2:7;D3:1,D27:12;D28:33;D25:29;D21:20;D12:13;D27:1;D26:2;D13:21;D6:13;D21:15,0,0,0,0.0
conv-42_qa_11,1,What is Joanna allergic to?,D2:23;D4:4;D5:11,D5:11;D24:6;D28:33;D2:22;D25:29;D28:28;D21:20;D12:13;D2:15;D2:23,1,1,1,1.0
conv-42_qa_12,3,What underlying condition might Joanna have based on her allergies?,D2:23;D5:11,D12:8;D2:22;D28:33;D25:29;D10:11;D21:20;D12:13;D4:21;D13:21;D6:13,0,0,0,0.0
conv-42_qa_13,2,When did Joanna have an audition for a writing gig?,D6:2,D6:2;D22:22;D26:2;D28:33;D25:29;D21:14;D21:20;D12:13;D1:15;D17:3,1,1,1,1.0
conv-42_qa_14,3,What nickname does Nate use for Joanna?,D7:1,D28:33;D25:29;D22:21;D15:17;D23:30;D14:16;D21:20;D12:13;D16:5;D13:21,0,0,0,0.0
conv-42_qa_15,2,When did Nate get purple hair?,D7:1,D22:22;D16:19;D7:19;D7:1;D16:21;D15:17;D7:4;D23:30;D1:15;D14:27,0,1,1,0.25
conv-42_qa_16,2,What physical transformation did Nate undergo in April 2022?,D7:1;D7:3,D22:22;D15:17;D23:30;D24:12;D15:15;D1:15;D19:6;D1:18;D14:13;D14:27,0,0,0,0.0
conv-42_qa_17,2,"What movie did Joanna watch on 1 May, 2022?",D10:1,D17:14;D22:22;D25:12;D28:33;D27:27;D25:29;D29:2;D3:19;D23:24;D21:14,0,0,0,0.0
conv-42_qa_18,2,Which outdoor spot did Joanna visit in May?,D11:7,D22:22;D11:16;D28:33;D25:29;D15:35;D14:18;D21:14;D21:20;D12:13;D16:11,0,0,0,0.0
conv-42_qa_19,1,How many times has Joanna found new hiking trails?,D11:3;D8:4,D24:10;D11:3;D28:33;D24:11;D24:12;D25:29;D14:21;D1:19;D4:3;D23:28,0,1,1,0.5
conv-42_qa_20,2,When did Nate adopt Max?,D12:3,D22:22;D15:17;D23:30;D1:15;D14:27;D22:21;D9:4;D14:18;D12:3;D4:2,0,0,1,0.1111111111111111
conv-42_qa_21,2,Who was the new addition to Nate's family in May 2022?,D12:3,D12:3;D24:14;D12:2;D28:12;D15:17;D23:30;D18:13;D31:4;D11:16;D14:27,1,1,1,1.0
conv-42_qa_22,2,When did Joanna start writing her third screenplay?,D12:13;D12:14,D27:37;D22:22;D4:10;D11:16;D28:33;D25:29;D8:13;D21:14;D21:20;D12:13,0,0,1,0.1
conv-42_qa_23,1,Which of Joanna's screenplay were rejected from production companies?,D14:1;D24:12;D24:13;D2:7;D3:1,D3:10;D24:12;D27:12;D28:33;D25:29;D21:20;D12:13;D13:21;D6:13;D15:16,0,1,1,0.5
conv-42_qa_24,2,When is Nate hosting a gaming party?,D14:20,D14:20;D3:21;D16:2;D14:23;D10:3;D28:1;D15:17;D3:19;D23:30;D15:7,1,1,1,1.0
conv-42_qa_25,2,When did Joanna hike with her buddies?,D14:19,D22:22;D28:33;D25:29;D1:8;D21:14;D21:20;D12:13;D1:15;D17:3;D13:21,0,0,0,0.0
conv-42_qa_26,2,When did Nate win his third tourney?,D14:8,D22:22;D10:7;D22:5;D15:17;D23:30;D1:15;D14:27;D9:4;D12:7;D8:28,0,0,0,0.0
conv-42_qa_27,1,What places has Joanna submitted her work to?,D16:1;D2:7,D2:11;D27:12;D28:33;D25:29;D1:17;D21:20;D12:13;D13:21;D6:13;D17:3,0,0,0,0.0
conv-42_qa_28,2,When did Nate make vegan icecream and share it with a vegan diet group?,D16:8,D16:8;D22:22;D18:9;D8:16;D26:9;D16:14;D10:5;D21:4;D8:1;D21:6,1,1,1,1.0
conv-42_qa_29,2,When is Joanna going to make Nate's ice cream for her family?,D16:11,D29:13;D4:1;D21:6;D16:11;D4:4;D16:8;D12:19;D28:1;D4:16;D21:4,0,1,1,0.25
conv-42_qa_30,1,What kind of writings does Joanna do?,D17:14;D18:1;D18:5;D2:3,D28:33;D25:29;D3:13;D26:6;D14:16;D21:20;D12:13;D30:22;D13:21;D6:13,0,0,0,0.0
conv-42_qa_31,2,When did Nate win his fourth video game tournament?,D17:1,D17:1;D1:3;D6:7;D28:2;D26:4;D22:2;D14:8;D24:11;D22:22;D1:3,1,1,1,1.0
conv-42_qa_32,2,Where did Joanna travel to in July 2022?,D17:4,D22:22;D2:19;D16:13;D28:33;D25:29;D21:14;D26:7;D21:20;D12:13;D1:15,0,0,0,0.0
conv-42_qa_33,2,When did someone write Joanna a touching letter?,D18:5,D2:8;D15:13;D22:22;D4:2;D15:34;D24:7;D27:29;D28:33;D28:25;D25:29,0,0,0,0.0
conv-42_qa_34,1,What book recommendations has Joanna given to Nate?,D19:14;D19:16;D3:17,D9:13;D11:23;D4:5;D19:13;D1:15;D28:33;D25:29;D1:34;D15:17;D1:18,0,0,0,0.0
conv-42_qa_35,2,When did Nate take time off to chill with his pets?,D19:9,D19:9;D5:7;D22:22;D3:13;D10:10;D5:10;D23:10;D15:17;D14:20;D23:30,1,1,1,1.0
conv-42_qa_36,2,When did Joanna share her book with her writers group?,D19:6,D19:6;D22:22;D9:1;D28:33;D25:29;D21:16;D18:12;D21:14;D10:5;D9:2,1,1,1,1.0
conv-42_qa_37,2,When did Nate win an international tournament?,D19:1,D26:12;D19:1;D22:22;D10:7;D28:2;D22:3;D4:3;D22:5;D12:6;D15:17,0,1,1,0.5
conv-42_qa_38,2,When did Joanna make a desert with almond milk?,D21:9,D22:22;D21:9;D20:10;D21:14;D28:33;D25:29;D18:9;D3:4;D26:18;D21:15,0,1,1,0.5
conv-42_qa_39,2,When did Nate attend a cooking show?,D21:4,D22:22;D4:10;D29:8;D21:5;D10:16;D15:17;D23:30;D10:12;D1:15;D23:14,0,0,0,0.0
conv-42_qa_40,2,When did Joanna's laptop crash?,D21:1,D22:22;D21:1;D10:1;D28:33;D25:29;D21:14;D21:20;D12:13;D1:15;D17:3,0,1,1,0.5
conv-42_qa_41,2,When did Joanna make a chocolate tart with raspberries?,D22:1,D21:11;D22:22;D21:15;D21:13;D21:14;D22:2;D28:33;D25:29;D4:3;D21:20,0,0,0,0.0
conv-42_qa_42,1,What movies have both Joanna and Nate seen?,D10:1;D22:8;D3:17,D24:1;D26:27;D3:15;D28:33;D25:29;D1:12;D25:13;D15:17;D9:12;D19:5,0,0,0,0.0
conv-42_qa_43,2,How long did it take for Joanna to finish writing her book?,D17:14;D22:9,D9:4;D22:22;D9:3;D1:1;D22:9;D28:33;D25:29;D2:2;D21:14;D4:12,0,1,1,0.2
conv-42_qa_44,2,When did Nate win a lot of money in a video game tournament?,D22:2,D1:3;D6:7;D22:2;D17:1;D28:2;D26:4;D10:4;D14:8;D24:11;D22:22,0,1,1,0.3333333333333333
conv-42_qa_45,2,When did Joanna finish up the writing for her book?,D22:9,D22:22;D22:9;D28:33;D25:29;D21:14;D4:12;D17:14;D21:20;D12:13;D13:8,0,1,1,0.5
conv-42_qa_46,1,What board games has Nate played?,D16:2;D23:7,D8:31;D8:30;D23:1;D24:1;D31:19;D15:29;D15:11;D1:8;D17:17;D15:17,0,0,0,0.0
conv-42_qa_47,1,What places has Nate met new people?,D14:8;D23:1,D2:11;D14:8;D23:1;D8:10;D3:4;D23:2;D28:15;D1:1;D23:8;D4:7,0,1,1,0.5
conv-42_qa_48,2,When did Nate go to a convention and meet new people?,D23:1,D1:1;D3:5;D23:13;D22:22;D21:1;D8:10;D13:6;D5:2;D23:1;D23:2,0,0,1,0.1111111111111111
conv-42_qa_49,1,How many times has Joanna's scripts been rejected?,D14:1;D24:12,D27:11;D27:12;D28:33;D25:29;D21:20;D12:13;D13:21;D6:13;D15:16;D25:1,0,0,0,0.0
conv-42_qa_50,1,What is something Nate gave to Joanna that brings her a lot of joy?,D13:9;D24:2,D14:14;D27:9;D27:3;D16:4;D31:5;D2:24;D17:21;D13:8;D28:33;D12:8,0,0,0,0.0
conv-42_qa_51,1,When did Nate get Tilly for Joanna?,D13:9;D24:2,D24:5;D22:22;D24:8;D28:33;D25:29;D15:17;D21:14;D23:30;D24:4;D21:20,0,0,0,0.0
conv-42_qa_52,1,How many of Joanna's writing have made it to the big screen?,D15:1;D25:2,D25:3;D3:2;D27:6;D26:29;D15:1;D25:2;D5:1;D28:33;D3:1;D25:29,0,1,1,0.2
conv-42_qa_53,1,How many times has Nate taken his turtles on a walk?,D25:15;D5:4,D25:15;D8:12;D25:26;D8:14;D24:9;D26:10;D15:17;D25:27;D27:8;D23:30,1,1,1,1.0
conv-42_qa_54,2,When was Joanna's second movie script shown on the big screens?,D25:1,D25:2;D27:6;D27:28;D27:13;D29:2;D29:1;D22:20;D28:33;D25:29;D5:1,0,0,0,0.0
conv-42_qa_55,1,What is Joanna inspired by?,D11:11;D25:10;D26:3;D26:7;D4:6;D7:6,D21:18;D28:33;D25:29;D25:7;D1:14;D22:10;D4:15;D13:10;D21:20;D12:13,0,0,0,0.0
conv-42_qa_56,1,What animal do both Nate and Joanna like?,D26:9;D5:6,D23:5;D13:14;D28:33;D25:29;D24:7;D15:17;D13:11;D1:13;D23:30;D21:20,0,0,0,0.0
conv-42_qa_57,2,When did Joanna plan to go over to Nate's and share recipes?,D26:19,D22:22;D20:12;D7:6;D26:21;D11:18;D28:33;D25:29;D21:4;D21:16;D18:12,0,0,0,0.0
conv-42_qa_58,1,What things has Nate reccomended to Joanna?,D10:11;D10:19;D19:17;D27:23;D2:14;D9:12;D9:14,D14:9;D28:33;D25:29;D27:25;D15:17;D23:30;D21:20;D12:13;D13:21;D13:17,0,0,0,0.0
conv-42_qa_59,1,What does Joanna do to remember happy memories?,D15:9;D27:34,D2:27;D1:4;D11:22;D5:2;D28:33;D25:29;D13:9;D18:12;D8:22;D28:12,0,0,0,0.0
conv-42_qa_60,3,What Console does Nate own?,D27:23,D3:11;D28:23;D22:21;D20:1;D15:17;D21:1;D23:30;D14:16;D14:27;D1:4,0,0,0,0.0
conv-42_qa_61,1,What mediums does Nate use to play games?,D22:2;D27:15;D27:21,D24:8;D19:11;D24:7;D19:13;D8:33;D2:29;D26:9;D27:17;D1:8;D22:21,0,0,0,0.0
conv-42_qa_62,1,How many letters has Joanna recieved?,D14:1;D18:5,D28:33;D25:29;D21:20;D12:13;D13:21;D6:13;D15:16;D25:1;D20:19;D29:14,0,0,0,0.0
conv-42_qa_63,1,What video games does Nate play?,D10:6;D1:7;D23:17;D27:1;D27:23,D1:11;D19:6;D1:2;D19:7;D19:9;D23:15;D24:6;D9:11;D16:4;D22:14,0,0,0,0.0
conv-42_qa_64,2,When did Nate win a big Valorant tourney?,D27:1,D22:22;D2:20;D27:1;D10:7;D29:19;D22:5;D15:17;D28:5;D23:30;D20:1,0,1,1,0.3333333333333333
conv-42_qa_65,2,Which torunament did Nate win in the beginning of November 2022?,D27:1,D22:22;D10:7;D22:5;D15:17;D23:30;D1:15;D14:27;D9:4;D12:7;D22:12,0,0,0,0.0
conv-42_qa_66,3,What alternative career might Nate consider after gaming?,D19:3;D25:19;D28:25;D5:8,D4:8;D10:3;D5:4;D11:14;D19:2;D15:17;D12:8;D23:30;D15:7;D20:10,0,0,0,0.0
conv-42_qa_67,1,What pets does Nate have?,D12:3;D28:23;D8:3,D13:2;D22:21;D15:17;D23:30;D14:16;D28:29;D14:27;D2:15;D1:4;D1:12,0,0,0,0.0
conv-42_qa_68,3,How many hikes has Joanna been on?,D11:5;D14:21;D28:22;D7:6,D11:8;D28:33;D16:16;D25:29;D2:19;D14:26;D4:16;D5:13;D21:20;D12:13,0,0,0,0.0
conv-42_qa_69,1,How many turtles does Nate have?,D28:23;D8:3,D25:26;D8:14;D26:10;D24:9;D22:21;D15:17;D25:27;D27:8;D23:30;D14:16,0,0,0,0.0
conv-42_qa_70,1,What activities does Nate do with his turtles?,D25:21;D25:23;D28:31,D25:26;D8:14;D19:14;D26:10;D24:9;D22:21;D15:17;D25:27;D27:8;D23:30,0,0,0,0.0
conv-42_qa_71,1,What do both Joanna and Nate appreciate the beauty of?,D11:9;D28:23,D9:26;D10:15;D27:14;D14:10;D4:11;D14:7;D6:12;D13:14;D30:13;D4:18,0,0,0,0.0
conv-42_qa_72,2,When did Joanna plan on going to Nate's to watch him play with his turtles?,D28:32,D28:28;D22:22;D4:16;D25:26;D8:14;D28:31;D11:18;D8:33;D25:1;D26:10,0,0,0,0.0
conv-42_qa_73,3,What state did Joanna visit in summer 2021?,D28:22,D22:22;D28:33;D25:29;D2:7;D21:14;D21:20;D12:13;D16:11;D10:1;D1:15,0,0,0,0.0
conv-42_qa_74,1,What recommendations has Nate received from Joanna?,D15:14;D15:15;D19:15;D19:16;D1:16;D23:26;D3:17,D1:15;D28:33;D25:29;D15:17;D1:18;D9:13;D23:30;D21:20;D12:13;D11:23,0,0,0,0.0
conv-42_qa_75,1,What are Nate's favorite desserts?,D21:10;D3:10;D3:12;D3:4,D21:11;D3:9;D21:9;D4:7;D25:5;D27:25;D4:9;D15:17;D23:30;D27:34,0,0,0,0.0
conv-42_qa_76,1,How has Nate tried to disburse his vegan ice-cream recipes?,D18:8;D21:4,D16:8;D21:4;D21:6;D29:13;D4:1;D4:4;D28:1;D8:19;D29:10;D21:10,0,1,1,0.5
conv-42_qa_77,2,When did Nate win his second tournament?,D10:4,D10:4;D22:22;D22:20;D10:7;D28:2;D22:3;D12:4;D4:3;D22:5;D12:6,1,1,1,1.0
conv-42_qa_78,1,How many video game tournaments has Nate participated in?,D10:4;D14:8;D17:1;D19:1;D1:3;D20:1;D22:2;D27:1;D6:7,D24:11;D1:3;D1:3;D6:7;D14:11;D24:8;D22:2;D14:8;D14:22;D28:13,0,1,1,0.5
conv-42_qa_79,1,How many screenplays has Joanna written?,D12:13;D12:14;D2:3;D4:10;D5:1,D23:21;D28:33;D25:29;D21:20;D23:22;D12:13;D13:21;D6:13;D16:12;D15:16,0,0,1,0.16666666666666666
conv-42_qa_80,1,How many tournaments has Nate won?,D10:4;D14:8;D17:1;D19:1;D1:3;D22:2;D27:1,D22:13;D14:11;D7:10;D10:4;D14:22;D27:14;D15:17;D23:30;D24:4;D27:1,0,1,1,0.25
conv-42_qa_81,1,What recipes has Joanna made?,D10:11;D10:9;D19:8;D20:10;D20:2;D21:11;D21:17;D21:3;D22:1,D28:33;D25:29;D21:4;D10:12;D20:11;D21:20;D12:13;D26:21;D13:21;D6:13,0,0,0,0.0
conv-42_qa_82,1,What recipes has Nate made?,D3:4;D4:3,D15:17;D10:12;D23:30;D26:21;D14:27;D20:2;D21:4;D7:7;D7:12;D8:8,0,0,0,0.0
conv-42_qa_83,1,What are the skills that Nate has helped others learn?,D14:16;D18:8;D26:12,D26:7;D21:13;D15:17;D23:30;D7:12;D7:27;D14:27;D14:9;D13:19;D14:3,0,0,0,0.0
conv-42_qa_84,3,Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.,D20:1;D21:1,D3:12;D7:20;D4:8;D28:33;D20:19;D25:29;D11:14;D25:7;D19:2;D12:10,0,0,0,0.0
conv-42_qa_85,3,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,D29:1,D27:11;D28:33;D25:29;D29:2;D3:13;D3:19;D21:20;D12:13;D26:10;D1:6,0,0,0,0.0
conv-42_qa_86,2,When did Nate take his turtles to the beach?,D29:6,D29:6;D22:22;D21:3;D25:26;D8:14;D26:10;D15:17;D25:27;D27:8;D23:30,1,1,1,1.0
conv-42_qa_87,3,What state did Nate visit?,D29:6,D22:22;D15:17;D23:30;D16:11;D1:15;D18:13;D24:2;D14:27;D6:17;D9:4,0,0,0,0.0
conv-42_qa_88,4,What is one of Joanna's favorite movies?,D;D1:18;D1:20,D8:23;D27:20;D28:33;D25:5;D25:29;D27:25;D27:23;D15:28;D1:13;D1:15,0,0,0,0.0
conv-42_qa_89,4,What color did Nate choose for his hair?,D7:1;D7:3,D7:4;D22:22;D15:35;D23:9;D13:9;D7:1;D7:19;D29:32;D21:7;D15:17,0,0,1,0.16666666666666666
conv-42_qa_90,4,What is Nate's favorite movie trilogy?,D9:12,D8:16;D21:11;D10:1;D23:16;D25:5;D27:25;D3:19;D29:1;D15:17;D26:31,0,0,0,0.0
conv-42_qa_91,4,What is Nate's favorite book series about?,D9:14,D14:9;D27:19;D19:14;D4:20;D26:36;D6:9;D19:15;D21:11;D25:5;D27:25,0,0,0,0.0
conv-42_qa_92,4,What kind of lighting does Nate's gaming room have?,D10:2,D10:3;D28:23;D19:10;D15:6;D20:10;D28:29;D19:4;D3:13;D22:21;D15:17,0,0,0,0.0
conv-42_qa_93,4,What game was the second tournament that Nate won based on?,D10:4;D10:6,D22:13;D10:4;D1:3;D7:10;D22:20;D28:2;D30:4;D22:2;D12:4;D10:4,0,1,1,0.5
conv-42_qa_94,4,What is Joanna's third screenplay about?,D12:13;D12:14,D28:33;D25:29;D21:20;D12:13;D13:21;D6:13;D15:16;D2:3;D4:19;D11:16,0,1,1,0.25
conv-42_qa_95,4,What is Nate's favorite video game?,D27:22;D27:23,D24:11;D1:3;D1:3;D6:7;D19:7;D24:8;D21:11;D22:2;D14:8;D28:13,0,0,0,0.0
conv-42_qa_96,4,What type of movies does Nate enjoy watching the most?,D1:13,D8:27;D1:12;D1:10;D20:23;D13:7;D8:19;D14:16;D1:11;D15:18;D9:11,0,0,0,0.0
conv-42_qa_97,4,"What did Joanna just finish last Friday on 23 January, 2022?",D2:3,D22:22;D28:33;D25:29;D8:4;D21:14;D4:12;D30:14;D21:20;D12:13;D13:8,0,0,0,0.0
conv-42_qa_98,4,What genre is Joanna's first screenplay?,D2:5,D14:7;D30:15;D8:13;D28:33;D25:29;D26:31;D21:20;D12:13;D1:13;D13:21,0,0,0,0.0
conv-42_qa_99,4,What are Joanna's plans for her finished screenplay in January 2022?,D2:7,D2:3;D23:19;D2:6;D28:33;D19:16;D25:29;D9:5;D23:24;D21:20;D12:13,0,0,0,0.0
conv-42_qa_100,4,For how long has Nate had his turtles?,D2:12,D25:26;D8:14;D26:10;D22:13;D15:17;D25:27;D27:8;D23:30;D25:15;D1:1,0,0,0,0.0
conv-42_qa_101,4,What did Nate think of the coconut milk ice cream he made?,D3:6,D21:6;D29:10;D21:10;D8:19;D26:18;D18:9;D29:13;D4:1;D4:5;D3:10,0,0,0,0.0
conv-42_qa_102,4,Which dairy-free dessert flavors does Nate enjoy?,D3:10,D10:9;D21:9;D3:9;D20:9;D8:17;D20:15;D3:11;D4:4;D22:1;D21:10,0,0,0,0.0
conv-42_qa_103,4,"What did Joanna recently watch and recommend to Nate on February 7, 2022?",D3:17,D22:22;D3:16;D28:33;D25:29;D10:3;D14:9;D15:17;D21:14;D23:30;D21:20,0,0,0,0.0
conv-42_qa_104,4,"What is ""Little Women"" about according to Joanna?",D3:17,D22:8;D3:17;D28:33;D25:29;D13:17;D21:20;D12:13;D13:21;D6:13;D15:16,0,1,1,0.5
conv-42_qa_105,4,"What flavor of ice cream did Nate make for his friend on 25 February, 2022?",D4:3,D4:1;D29:13;D21:6;D4:2;D4:4;D22:22;D16:8;D26:9;D8:19;D28:1,0,0,0,0.0
conv-42_qa_106,4,"What inspired Joanna's new screenplay on 25 February, 2022?",D4:16,D10:9;D21:18;D28:33;D25:29;D25:7;D1:14;D22:10;D4:15;D13:10;D21:20,0,0,0,0.0
conv-42_qa_107,4,Why does Nate like turtles as pets?,D5:6,D23:5;D25:26;D8:14;D26:10;D24:9;D13:2;D22:21;D15:17;D25:27;D27:8,0,0,0,0.0
conv-42_qa_108,4,How does Nate describe the process of taking care of turtles?,D5:8,D20:28;D26:24;D3:24;D7:13;D5:16;D12:14;D6:16;D7:11;D2:4;D17:12,0,0,0,0.0
conv-42_qa_109,4,What was Joanna's audition for?,D6:2,D6:2;D28:33;D25:29;D21:20;D12:13;D13:21;D6:13;D15:16;D25:1;D20:19,1,1,1,1.0
conv-42_qa_110,4,Why did Nate choose the hair color he did?,D7:5,D22:22;D7:4;D23:9;D15:35;D13:9;D1:15;D9:4;D7:1;D28:7;D3:5,0,0,0,0.0
conv-42_qa_111,4,What are the main ingredients of the ice cream recipe shared by Nate?,D8:19,D29:13;D21:6;D4:1;D4:4;D16:8;D8:19;D28:1;D29:10;D21:4;D21:10,0,0,1,0.16666666666666666
conv-42_qa_112,4,What is Joanna's project called in the writers group?,D9:3,D19:6;D9:1;D26:35;D1:6;D28:33;D25:29;D9:2;D15:25;D21:20;D12:13,0,0,0,0.0
conv-42_qa_113,4,What is Nate's favorite genre of movies?,D9:10,D1:13;D26:31;D14:7;D30:15;D8:13;D21:11;D27:20;D25:5;D8:23;D26:32,0,0,0,0.0
conv-42_qa_114,4,What kind of books does Nate enjoy?,D9:14,D6:8;D14:16;D3:23;D12:16;D9:13;D19:16;D3:13;D1:10;D22:21;D4:6,0,0,0,0.0
conv-42_qa_115,4,What kind of films does Joanna enjoy?,D9:9,D14:16;D29:14;D28:33;D25:29;D9:9;D3:23;D12:16;D3:13;D27:21;D4:9,0,1,1,0.2
conv-42_qa_116,4,Which activity helps Nate escape and stimulates his imagination?,D9:10,D12:17;D9:10;D4:16;D14:19;D2:6;D15:17;D23:30;D3:31;D3:30;D9:11,0,1,1,0.5
conv-42_qa_117,4,What filling did Joanna use in the cake she made recently in May 2022?,D10:11,D21:14;D10:9;D22:22;D7:12;D28:33;D12:5;D25:29;D26:22;D16:4;D3:12,0,0,0,0.0
conv-42_qa_118,4,What kind of frosting did Joanna use on the cake she made recently in May 2022?,D10:11,D21:14;D10:9;D22:22;D10:10;D7:12;D28:33;D25:29;D26:22;D16:4;D3:13,0,0,0,0.0
conv-42_qa_119,4,What does Nate feel he could do when out in cool places like Whispering Falls?,D11:13,D11:13;D11:7;D2:11;D14:3;D8:23;D20:29;D8:24;D23:5;D24:17;D12:18,1,1,1,1.0
conv-42_qa_120,4,What creative activity does Nate joke about pursuing after being inspired by their hikes with Jo?,D11:16,D10:14;D11:12;D2:29;D22:15;D11:2;D11:8;D21:18;D16:16;D1:14;D8:24,0,0,0,0.0
conv-42_qa_121,4,Who invited Nate to join her on the trails sometime?,D11:17,D11:17;D21:23;D8:18;D24:11;D24:12;D8:31;D15:17;D1:6;D23:30;D14:27,1,1,1,1.0
conv-42_qa_122,4,"What did Nate do for Joanna on 25 May, 2022?",D13:9,D22:22;D28:33;D25:29;D15:17;D21:14;D23:30;D21:20;D12:13;D1:15;D17:3,0,0,0,0.0
conv-42_qa_123,4,How does Nate describe the stuffed animal he got for Joanna?,D13:11,D24:7;D13:11;D13:14;D24:4;D17:15;D28:33;D25:29;D20:18;D24:8;D22:21,0,1,1,0.5
conv-42_qa_124,4,What event is Nate organizing in June 2022?,D14:20,D28:13;D8:20;D19:3;D19:12;D15:17;D20:17;D23:30;D14:27;D10:7;D10:5,0,0,0,0.0
conv-42_qa_125,4,Who did Nate plan to invite to his gaming party in June 2022?,D14:22,D14:20;D11:18;D22:22;D3:21;D16:2;D10:3;D14:21;D14:23;D4:24;D28:1,0,0,0,0.0
conv-42_qa_126,4,What special items did Nate get for everyone at his gaming party?,D14:24,D14:20;D22:22;D3:21;D16:2;D10:3;D14:23;D4:24;D28:1;D15:17;D29:17,0,0,0,0.0
conv-42_qa_127,4,What did Joanna write yesterday that appeared on the big screen?,D15:1,D15:1;D25:3;D3:2;D22:22;D26:29;D27:6;D15:13;D25:2;D4:2;D29:19,1,1,1,1.0
conv-42_qa_128,4,What superhero is Joanna a fan of?,D15:3,D17:4;D28:33;D15:3;D25:29;D8:8;D21:20;D12:13;D13:21;D6:13;D15:2,0,1,1,0.3333333333333333
conv-42_qa_129,4,Which superhero toy figure does Nate share a photo of?,D15:4,D23:20;D15:16;D9:13;D15:3;D17:4;D17:35;D15:5;D29:17;D10:8;D22:21,0,0,0,0.0
conv-42_qa_130,4,What is displayed on Joanna's cork board for motivation and creativity?,D15:7,D15:7;D15:10;D15:11;D15:14;D15:9;D17:5;D6:10;D6:9;D28:33;D25:29,1,1,1,1.0
conv-42_qa_131,4,What does the photo on Joanna's cork board remind her of?,D15:11,D15:10;D15:11;D15:14;D15:9;D15:7;D25:14;D27:29;D28:33;D17:35;D25:29,0,1,1,0.5
conv-42_qa_132,4,What did Nate make and share with his vegan diet group?,D16:8,D16:8;D22:22;D26:9;D10:5;D4:2;D15:17;D23:30;D15:25;D1:15;D24:20,1,1,1,1.0
conv-42_qa_133,4,How many people attended the gaming party hosted by Nate in June 2022?,D16:6,D16:6;D14:20;D3:21;D16:2;D14:23;D20:12;D10:3;D28:16;D28:1;D15:17,1,1,1,1.0
