query_id,question,category,conversation_id,gold_memory_ids,split
conv-42_qa_15,When did Nate get purple hair?,2,conv-42,conv-42_session_7_D7:1,dev
conv-42_qa_16,What physical transformation did Nate undergo in April 2022?,2,conv-42,conv-42_session_7_D7:1;conv-42_session_7_D7:3,dev
conv-42_qa_17,"What movie did Joanna watch on 1 May, 2022?",2,conv-42,conv-42_session_10_D10:1,dev
conv-42_qa_18,Which outdoor spot did Joanna visit in May?,2,conv-42,conv-42_session_11_D11:7,dev
conv-42_qa_19,How many times has Joanna found new hiking trails?,1,conv-42,conv-42_session_8_D8:4;conv-42_session_11_D11:3,dev
conv-42_qa_20,When did Nate adopt Max?,2,conv-42,conv-42_session_12_D12:3,dev
conv-42_qa_21,Who was the new addition to Nate's family in May 2022?,2,conv-42,conv-42_session_12_D12:3,dev
conv-42_qa_22,When did Joanna start writing her third screenplay?,2,conv-42,conv-42_session_12_D12:13;conv-42_session_12_D12:14,dev
conv-42_qa_23,Which of Joanna's screenplay were rejected from production companies?,1,conv-42,conv-42_session_14_D14:1;conv-42_session_3_D3:1;conv-42_session_2_D2:7;conv-42_session_24_D24:12;conv-42_session_24_D24:13,dev
conv-42_qa_24,When is Nate hosting a gaming party?,2,conv-42,conv-42_session_14_D14:20,dev
conv-42_qa_25,When did Joanna hike with her buddies?,2,conv-42,conv-42_session_14_D14:19,dev
conv-42_qa_26,When did Nate win his third tourney?,2,conv-42,conv-42_session_14_D14:8,dev
conv-42_qa_27,What places has Joanna submitted her work to?,1,conv-42,conv-42_session_2_D2:7;conv-42_session_16_D16:1,dev
conv-42_qa_28,When did Nate make vegan icecream and share it with a vegan diet group?,2,conv-42,conv-42_session_16_D16:8,dev
conv-42_qa_29,When is Joanna going to make Nate's ice cream for her family?,2,conv-42,conv-42_session_16_D16:11,dev
conv-42_qa_30,What kind of writings does Joanna do?,1,conv-42,conv-42_session_2_D2:3;conv-42_session_17_D17:14;conv-42_session_18_D18:1;conv-42_session_18_D18:5,dev
conv-42_qa_31,When did Nate win his fourth video game tournament?,2,conv-42,conv-42_session_17_D17:1,dev
conv-42_qa_32,Where did Joanna travel to in July 2022?,2,conv-42,conv-42_session_17_D17:4,dev
conv-42_qa_33,When did someone write Joanna a touching letter?,2,conv-42,conv-42_session_18_D18:5,dev
conv-42_qa_34,What book recommendations has Joanna given to Nate?,1,conv-42,conv-42_session_3_D3:17;conv-42_session_19_D19:14;conv-42_session_19_D19:16,dev
conv-42_qa_35,When did Nate take time off to chill with his pets?,2,conv-42,conv-42_session_19_D19:9,dev
conv-42_qa_36,When did Joanna share her book with her writers group?,2,conv-42,conv-42_session_19_D19:6,dev
conv-42_qa_37,When did Nate win an international tournament?,2,conv-42,conv-42_session_19_D19:1,dev
conv-42_qa_38,When did Joanna make a desert with almond milk?,2,conv-42,conv-42_session_21_D21:9,dev
conv-42_qa_39,When did Nate attend a cooking show?,2,conv-42,conv-42_session_21_D21:4,dev
conv-42_qa_40,When did Joanna's laptop crash?,2,conv-42,conv-42_session_21_D21:1,dev
conv-42_qa_41,When did Joanna make a chocolate tart with raspberries?,2,conv-42,conv-42_session_22_D22:1,dev
conv-42_qa_42,What movies have both Joanna and Nate seen?,1,conv-42,conv-42_session_3_D3:17;conv-42_session_10_D10:1;conv-42_session_22_D22:8,dev
conv-42_qa_43,How long did it take for Joanna to finish writing her book?,2,conv-42,conv-42_session_17_D17:14;conv-42_session_22_D22:9,dev
conv-42_qa_44,When did Nate win a lot of money in a video game tournament?,2,conv-42,conv-42_session_22_D22:2,dev
conv-42_qa_45,When did Joanna finish up the writing for her book?,2,conv-42,conv-42_session_22_D22:9,dev
conv-42_qa_46,What board games has Nate played?,1,conv-42,conv-42_session_16_D16:2;conv-42_session_23_D23:7,dev
conv-42_qa_47,What places has Nate met new people?,1,conv-42,conv-42_session_14_D14:8;conv-42_session_23_D23:1,dev
conv-42_qa_48,When did Nate go to a convention and meet new people?,2,conv-42,conv-42_session_23_D23:1,dev
conv-42_qa_49,How many times has Joanna's scripts been rejected?,1,conv-42,conv-42_session_14_D14:1;conv-42_session_24_D24:12,dev
conv-42_qa_50,What is something Nate gave to Joanna that brings her a lot of joy?,1,conv-42,conv-42_session_13_D13:9;conv-42_session_24_D24:2,dev
conv-42_qa_51,When did Nate get Tilly for Joanna?,1,conv-42,conv-42_session_13_D13:9;conv-42_session_24_D24:2,dev
conv-42_qa_52,How many of Joanna's writing have made it to the big screen?,1,conv-42,conv-42_session_15_D15:1;conv-42_session_25_D25:2,dev
conv-42_qa_53,How many times has Nate taken his turtles on a walk?,1,conv-42,conv-42_session_5_D5:4;conv-42_session_25_D25:15,dev
conv-42_qa_54,When was Joanna's second movie script shown on the big screens?,2,conv-42,conv-42_session_25_D25:1,dev
conv-42_qa_55,What is Joanna inspired by?,1,conv-42,conv-42_session_4_D4:6;conv-42_session_7_D7:6;conv-42_session_11_D11:11;conv-42_session_26_D26:3;conv-42_session_26_D26:7;conv-42_session_25_D25:10,dev
conv-42_qa_56,What animal do both Nate and Joanna like?,1,conv-42,conv-42_session_5_D5:6;conv-42_session_26_D26:9,dev
conv-42_qa_57,When did Joanna plan to go over to Nate's and share recipes?,2,conv-42,conv-42_session_26_D26:19,dev
conv-42_qa_58,What things has Nate reccomended to Joanna?,1,conv-42,conv-42_session_2_D2:14;conv-42_session_9_D9:12;conv-42_session_9_D9:14;conv-42_session_10_D10:11;conv-42_session_19_D19:17;conv-42_session_27_D27:23;conv-42_session_10_D10:19,dev
conv-42_qa_59,What does Joanna do to remember happy memories?,1,conv-42,conv-42_session_15_D15:9;conv-42_session_27_D27:34,dev
conv-42_qa_60,What Console does Nate own?,3,conv-42,conv-42_session_27_D27:23,dev
conv-42_qa_61,What mediums does Nate use to play games?,1,conv-42,conv-42_session_22_D22:2;conv-42_session_27_D27:21;conv-42_session_27_D27:15,dev
conv-42_qa_62,How many letters has Joanna recieved?,1,conv-42,conv-42_session_14_D14:1;conv-42_session_18_D18:5,dev
conv-42_qa_63,What video games does Nate play?,1,conv-42,conv-42_session_10_D10:6;conv-42_session_27_D27:1;conv-42_session_27_D27:23;conv-42_session_1_D1:7;conv-42_session_23_D23:17,dev
conv-42_qa_64,When did Nate win a big Valorant tourney?,2,conv-42,conv-42_session_27_D27:1,dev
conv-42_qa_65,Which torunament did Nate win in the beginning of November 2022?,2,conv-42,conv-42_session_27_D27:1,dev
conv-42_qa_66,What alternative career might Nate consider after gaming?,3,conv-42,conv-42_session_5_D5:8;conv-42_session_19_D19:3;conv-42_session_25_D25:19;conv-42_session_28_D28:25,dev
conv-42_qa_67,What pets does Nate have?,1,conv-42,conv-42_session_8_D8:3;conv-42_session_12_D12:3;conv-42_session_28_D28:23,dev
conv-42_qa_68,How many hikes has Joanna been on?,3,conv-42,conv-42_session_7_D7:6;conv-42_session_11_D11:5;conv-42_session_14_D14:21;conv-42_session_28_D28:22,dev
conv-42_qa_69,How many turtles does Nate have?,1,conv-42,conv-42_session_8_D8:3;conv-42_session_28_D28:23,dev
conv-42_qa_70,What activities does Nate do with his turtles?,1,conv-42,conv-42_session_25_D25:21;conv-42_session_25_D25:23;conv-42_session_28_D28:31,dev
conv-42_qa_71,What do both Joanna and Nate appreciate the beauty of?,1,conv-42,conv-42_session_11_D11:9;conv-42_session_28_D28:23,dev
conv-42_qa_72,When did Joanna plan on going to Nate's to watch him play with his turtles?,2,conv-42,conv-42_session_28_D28:32,dev
conv-42_qa_73,What state did Joanna visit in summer 2021?,3,conv-42,conv-42_session_28_D28:22,dev
conv-42_qa_74,What recommendations has Nate received from Joanna?,1,conv-42,conv-42_session_1_D1:16;conv-42_session_3_D3:17;conv-42_session_15_D15:14;conv-42_session_15_D15:15;conv-42_session_19_D19:15;conv-42_session_19_D19:16;conv-42_session_23_D23:26,dev
conv-42_qa_75,What are Nate's favorite desserts?,1,conv-42,conv-42_session_3_D3:4;conv-42_session_3_D3:10;conv-42_session_21_D21:10;conv-42_session_3_D3:12,dev
conv-42_qa_76,How has Nate tried to disburse his vegan ice-cream recipes?,1,conv-42,conv-42_session_18_D18:8;conv-42_session_21_D21:4,dev
conv-42_qa_77,When did Nate win his second tournament?,2,conv-42,conv-42_session_10_D10:4,dev
conv-42_qa_78,How many video game tournaments has Nate participated in?,1,conv-42,conv-42_session_1_D1:3;conv-42_session_6_D6:7;conv-42_session_10_D10:4;conv-42_session_14_D14:8;conv-42_session_17_D17:1;conv-42_session_19_D19:1;conv-42_session_20_D20:1;conv-42_session_22_D22:2;conv-42_session_27_D27:1,dev
conv-42_qa_79,How many screenplays has Joanna written?,1,conv-42,conv-42_session_2_D2:3;conv-42_session_4_D4:10;conv-42_session_5_D5:1;conv-42_session_12_D12:13;conv-42_session_12_D12:14,dev
conv-42_qa_80,How many tournaments has Nate won?,1,conv-42,conv-42_session_1_D1:3;conv-42_session_10_D10:4;conv-42_session_14_D14:8;conv-42_session_17_D17:1;conv-42_session_19_D19:1;conv-42_session_22_D22:2;conv-42_session_27_D27:1,dev
conv-42_qa_81,What recipes has Joanna made?,1,conv-42,conv-42_session_10_D10:9;conv-42_session_10_D10:11;conv-42_session_19_D19:8;conv-42_session_20_D20:2;conv-42_session_20_D20:10;conv-42_session_21_D21:11;conv-42_session_22_D22:1;conv-42_session_21_D21:3;conv-42_session_21_D21:17,dev
conv-42_qa_82,What recipes has Nate made?,1,conv-42,conv-42_session_3_D3:4;conv-42_session_4_D4:3,dev
conv-42_qa_83,What are the skills that Nate has helped others learn?,1,conv-42,conv-42_session_18_D18:8;conv-42_session_26_D26:12;conv-42_session_14_D14:16,dev
conv-42_qa_84,Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.,3,conv-42,conv-42_session_20_D20:1;conv-42_session_21_D21:1,dev
conv-42_qa_85,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,3,conv-42,conv-42_session_29_D29:1,dev
conv-42_qa_86,When did Nate take his turtles to the beach?,2,conv-42,conv-42_session_29_D29:6,dev
conv-42_qa_87,What state did Nate visit?,3,conv-42,conv-42_session_29_D29:6,dev
conv-42_qa_88,What is one of Joanna's favorite movies?,4,conv-42,conv-42_session_1_D1:18;conv-42_unknown_D;conv-42_session_1_D1:20,dev
conv-42_qa_89,What color did Nate choose for his hair?,4,conv-42,conv-42_session_7_D7:1;conv-42_session_7_D7:3,dev
conv-42_qa_90,What is Nate's favorite movie trilogy?,4,conv-42,conv-42_session_9_D9:12,dev
conv-42_qa_91,What is Nate's favorite book series about?,4,conv-42,conv-42_session_9_D9:14,dev
conv-42_qa_92,What kind of lighting does Nate's gaming room have?,4,conv-42,conv-42_session_10_D10:2,dev
conv-42_qa_93,What game was the second tournament that Nate won based on?,4,conv-42,conv-42_session_10_D10:4;conv-42_session_10_D10:6,dev
conv-42_qa_94,What is Joanna's third screenplay about?,4,conv-42,conv-42_session_12_D12:13;conv-42_session_12_D12:14,dev
conv-42_qa_95,What is Nate's favorite video game?,4,conv-42,conv-42_session_27_D27:22;conv-42_session_27_D27:23,dev
conv-42_qa_96,What type of movies does Nate enjoy watching the most?,4,conv-42,conv-42_session_1_D1:13,dev
conv-42_qa_97,"What did Joanna just finish last Friday on 23 January, 2022?",4,conv-42,conv-42_session_2_D2:3,dev
conv-42_qa_98,What genre is Joanna's first screenplay?,4,conv-42,conv-42_session_2_D2:5,dev
conv-42_qa_99,What are Joanna's plans for her finished screenplay in January 2022?,4,conv-42,conv-42_session_2_D2:7,dev
conv-42_qa_100,For how long has Nate had his turtles?,4,conv-42,conv-42_session_2_D2:12,dev
conv-42_qa_101,What did Nate think of the coconut milk ice cream he made?,4,conv-42,conv-42_session_3_D3:6,dev
conv-42_qa_102,Which dairy-free dessert flavors does Nate enjoy?,4,conv-42,conv-42_session_3_D3:10,dev
conv-42_qa_103,"What did Joanna recently watch and recommend to Nate on February 7, 2022?",4,conv-42,conv-42_session_3_D3:17,dev
conv-42_qa_104,"What is ""Little Women"" about according to Joanna?",4,conv-42,conv-42_session_3_D3:17,dev
conv-42_qa_105,"What flavor of ice cream did Nate make for his friend on 25 February, 2022?",4,conv-42,conv-42_session_4_D4:3,dev
conv-42_qa_106,"What inspired Joanna's new screenplay on 25 February, 2022?",4,conv-42,conv-42_session_4_D4:16,dev
conv-42_qa_107,Why does Nate like turtles as pets?,4,conv-42,conv-42_session_5_D5:6,dev
conv-42_qa_108,How does Nate describe the process of taking care of turtles?,4,conv-42,conv-42_session_5_D5:8,dev
conv-42_qa_109,What was Joanna's audition for?,4,conv-42,conv-42_session_6_D6:2,dev
conv-42_qa_110,Why did Nate choose the hair color he did?,4,conv-42,conv-42_session_7_D7:5,dev
conv-42_qa_111,What are the main ingredients of the ice cream recipe shared by Nate?,4,conv-42,conv-42_session_8_D8:19,dev
conv-42_qa_112,What is Joanna's project called in the writers group?,4,conv-42,conv-42_session_9_D9:3,dev
conv-42_qa_113,What is Nate's favorite genre of movies?,4,conv-42,conv-42_session_9_D9:10,dev
conv-42_qa_114,What kind of books does Nate enjoy?,4,conv-42,conv-42_session_9_D9:14,dev
conv-42_qa_115,What kind of films does Joanna enjoy?,4,conv-42,conv-42_session_9_D9:9,dev
conv-42_qa_116,Which activity helps Nate escape and stimulates his imagination?,4,conv-42,conv-42_session_9_D9:10,dev
conv-42_qa_117,What filling did Joanna use in the cake she made recently in May 2022?,4,conv-42,conv-42_session_10_D10:11,dev
conv-42_qa_118,What kind of frosting did Joanna use on the cake she made recently in May 2022?,4,conv-42,conv-42_session_10_D10:11,dev
conv-42_qa_119,What does Nate feel he could do when out in cool places like Whispering Falls?,4,conv-42,conv-42_session_11_D11:13,dev
conv-42_qa_120,What creative activity does Nate joke about pursuing after being inspired by their hikes with Jo?,4,conv-42,conv-42_session_11_D11:16,dev
conv-42_qa_121,Who invited Nate to join her on the trails sometime?,4,conv-42,conv-42_session_11_D11:17,dev
conv-42_qa_122,"What did Nate do for Joanna on 25 May, 2022?",4,conv-42,conv-42_session_13_D13:9,dev
conv-42_qa_123,How does Nate describe the stuffed animal he got for Joanna?,4,conv-42,conv-42_session_13_D13:11,dev
conv-42_qa_124,What event is Nate organizing in June 2022?,4,conv-42,conv-42_session_14_D14:20,dev
conv-42_qa_125,Who did Nate plan to invite to his gaming party in June 2022?,4,conv-42,conv-42_session_14_D14:22,dev
conv-42_qa_126,What special items did Nate get for everyone at his gaming party?,4,conv-42,conv-42_session_14_D14:24,dev
conv-42_qa_127,What did Joanna write yesterday that appeared on the big screen?,4,conv-42,conv-42_session_15_D15:1,dev
conv-42_qa_128,What superhero is Joanna a fan of?,4,conv-42,conv-42_session_15_D15:3,dev
conv-42_qa_129,Which superhero toy figure does Nate share a photo of?,4,conv-42,conv-42_session_15_D15:4,dev
conv-42_qa_130,What is displayed on Joanna's cork board for motivation and creativity?,4,conv-42,conv-42_session_15_D15:7,dev
conv-42_qa_131,What does the photo on Joanna's cork board remind her of?,4,conv-42,conv-42_session_15_D15:11,dev
conv-42_qa_132,What did Nate make and share with his vegan diet group?,4,conv-42,conv-42_session_16_D16:8,dev
conv-42_qa_133,How many people attended the gaming party hosted by Nate in June 2022?,4,conv-42,conv-42_session_16_D16:6,dev
conv-42_qa_134,What recipe Nate offer to share with Joanna?,4,conv-42,conv-42_session_16_D16:10,dev
conv-42_qa_135,What did Joanna plan to do with the recipe Nate promised to share?,4,conv-42,conv-42_session_16_D16:11,dev
conv-42_qa_136,"How many video game tournaments has Nate won by July 10, 2022?",4,conv-42,conv-42_session_17_D17:1,dev
conv-42_qa_137,Where did Joanna go for a road trip for research?,4,conv-42,conv-42_session_17_D17:4,dev
conv-42_qa_138,What did Joanna discover at the library in Woodhaven?,4,conv-42,conv-42_session_17_D17:4,dev
conv-42_qa_139,What specific themes are explored in Joanna's new book?,4,conv-42,conv-42_session_17_D17:16,dev
conv-42_qa_140,What inspired Joanna's new script in July 2022?,4,conv-42,conv-42_session_17_D17:8,dev
conv-42_qa_141,What did Nate do while Joanna was on her road trip?,4,conv-42,conv-42_session_17_D17:2,dev
conv-42_qa_142,What does Nate do that he loves and can make money from?,4,conv-42,conv-42_session_17_D17:1,dev
conv-42_qa_143,How did Joanna feel when someone wrote her a letter after reading her blog post?,4,conv-42,conv-42_session_18_D18:5,dev
conv-42_qa_144,What kind of impact does Joanna hope to have with her writing?,4,conv-42,conv-42_session_18_D18:7,dev
conv-42_qa_145,What kind of content did Joanna share that someone wrote her a letter about?,4,conv-42,conv-42_session_18_D18:5,dev
conv-42_qa_146,What motivates Joanna to keep writing even on tough days?,4,conv-42,conv-42_session_18_D18:7,dev
conv-42_qa_147,What type of ice cream does Joanna mention that Nate makes and is delicious?,4,conv-42,conv-42_session_18_D18:9,dev
conv-42_qa_148,How did Nate feel about sharing his love for dairy-free desserts with Joanna?,4,conv-42,conv-42_session_18_D18:12,dev
conv-42_qa_149,What did Joanna share with her writers group in August 2022?,4,conv-42,conv-42_session_19_D19:6,dev
conv-42_qa_150,How did Joanna celebrate after sharing her book with her writers group?,4,conv-42,conv-42_session_19_D19:8,dev
conv-42_qa_151,How did Nate celebrate winning the international tournament?,4,conv-42,conv-42_session_19_D19:9,dev
conv-42_qa_152,Why is Joanna experimenting with dairy-free options in her dessert recipes?,4,conv-42,conv-42_session_20_D20:10,dev
conv-42_qa_153,What substitution does Nate suggest for butter in dairy-free baking?,4,conv-42,conv-42_session_20_D20:15,dev
conv-42_qa_154,What type of show did Nate host where he taught vegan ice cream recipes?,4,conv-42,conv-42_session_21_D21:4,dev
conv-42_qa_155,What is Nate's favorite dish from the cooking show he hosted?,4,conv-42,conv-42_session_21_D21:6,dev
conv-42_qa_156,What is one of Nate's favorite dairy-free treats besides coconut milk ice cream?,4,conv-42,conv-42_session_21_D21:10,dev
conv-42_qa_157,"What dessert did Joanna share a photo of that has an almond flour crust, chocolate ganache, and fresh raspberries?",4,conv-42,conv-42_session_21_D21:11,dev
conv-42_qa_158,What kind of cake did Joanna share a photo of that she likes making for birthdays and special days?,4,conv-42,conv-42_session_21_D21:13,dev
conv-42_qa_159,"What two main ingredients are part of the dessert Joanna shared a photo of with blueberries, coconut milk, and a gluten-free crust?",4,conv-42,conv-42_session_21_D21:17,dev
conv-42_qa_160,"What movie did Nate recently watch and enjoy on October 6, 2022?",4,conv-42,conv-42_session_22_D22:8,dev
conv-42_qa_161,What did Joanna make for one of the ladies at her writing club?,4,conv-42,conv-42_session_22_D22:19,dev
conv-42_qa_162,"What game did Nate play at the game convention he attended on 9 October, 2022?",4,conv-42,conv-42_session_23_D23:7,dev
conv-42_qa_163,What movie has Nate recently seen that blew his mind?,4,conv-42,conv-42_session_23_D23:17,dev
conv-42_qa_164,"What game has Nate been playing nonstop with a futuristic setting and gameplay on October 9, 2022?",4,conv-42,conv-42_session_23_D23:17,dev
conv-42_qa_165,What did Nate share a photo of when mentioning unwinding at home?,4,conv-42,conv-42_session_23_D23:15,dev
conv-42_qa_166,How did Joanna describe the classic movie he watched?,4,conv-42,conv-42_session_23_D23:18,dev
conv-42_qa_167,What does Joanna recommend to make a living room comfy like hers?,4,conv-42,conv-42_session_23_D23:26,dev
conv-42_qa_168,What helps Joanna stay focused and brings her joy?,4,conv-42,conv-42_session_24_D24:8,dev
conv-42_qa_169,What does Joanna do while she writes?,4,conv-42,conv-42_session_24_D24:4,dev
conv-42_qa_170,Why did Joanna name the stuffed animal dog Tilly?,4,conv-42,conv-42_session_24_D24:6,dev
conv-42_qa_171,What does Joanna do after receiving a rejection from a production company?,4,conv-42,conv-42_session_24_D24:14,dev
conv-42_qa_172,How does Nate feel about Joanna's ability to bounce back from setbacks?,4,conv-42,conv-42_session_24_D24:15,dev
conv-42_qa_173,What encouragement does Nate give to Joanna after her setback?,4,conv-42,conv-42_session_24_D24:13,dev
conv-42_qa_174,What does Nate rely on for cheer and joy?,4,conv-42,conv-42_session_24_D24:3,dev
conv-42_qa_175,What does Joanna use to remember her dog from Michigan?,4,conv-42,conv-42_session_24_D24:6,dev
conv-42_qa_176,"What did Joanna contribute to that was shown on the big screen on the Sunday before October 25, 2022?",4,conv-42,conv-42_session_25_D25:2,dev
conv-42_qa_177,What inspires Joanna to create drawings of her characters?,4,conv-42,conv-42_session_25_D25:8,dev
conv-42_qa_178,Where does Joanna get her ideas for the characters from?,4,conv-42,conv-42_session_25_D25:10,dev
conv-42_qa_179,"How did Joanna feel on October 25, 2022 about seeing her characters come alive on the big screen?",4,conv-42,conv-42_session_25_D25:6,dev
conv-42_qa_180,What type of diet do Nate's turtles have?,4,conv-42,conv-42_session_25_D25:19,dev
conv-42_qa_181,What ingredient did Nate use to make the ice cream lactose-free?,4,conv-42,conv-42_session_26_D26:18,dev
conv-42_qa_182,What did Joanna find in old notebooks last week that prompted her to reflect on her progress as a writer?,4,conv-42,conv-42_session_26_D26:5,dev
conv-42_qa_183,"What game is Nate currently playing and recommends to others on November 7, 2022?",4,conv-42,conv-42_session_27_D27:23,dev
conv-42_qa_184,What did Joanna receive from her brother that brought back childhood memories?,4,conv-42,conv-42_session_27_D27:29,dev
conv-42_qa_185,"What is the type of game ""Xenoblade Chronicles"" that Nate is playing?",4,conv-42,conv-42_session_27_D27:23,dev
conv-42_qa_186,"What dish did Nate make on 9 November, 2022?",4,conv-42,conv-42_session_28_D28:1,dev
conv-42_qa_187,"What project is Joanna working on in her notebook on November 9, 2022?",4,conv-42,conv-42_session_28_D28:12,dev
conv-42_qa_188,"What is Nate creating for YouTube on 9 November, 2022?",4,conv-42,conv-42_session_28_D28:13,dev
conv-42_qa_189,What inspired Nate to start making gaming videos?,4,conv-42,conv-42_session_28_D28:15,dev
conv-42_qa_190,What new content is Nate creating for YouTube?,4,conv-42,conv-42_session_28_D28:13,dev
conv-42_qa_191,What advice does Joanna give to Nate about making YouTube videos?,4,conv-42,conv-42_session_28_D28:18,dev
conv-42_qa_192,What did Joanna take a picture of near Fort Wayne last summer?,4,conv-42,conv-42_session_28_D28:22,dev
conv-42_qa_193,What inspired Joanna to take a picture of the sunset in the field near Fort Wayne?,4,conv-42,conv-42_session_28_D28:22,dev
conv-42_qa_194,Why did Nate get a third turtle?,4,conv-42,conv-42_session_28_D28:25,dev
conv-42_qa_195,What does Nate want to do when he goes over to Joanna's place?,4,conv-42,conv-42_session_28_D28:29,dev
conv-42_qa_196,What did Nate take to the beach in Tampa?,4,conv-42,conv-42_session_29_D29:6,dev
conv-42_qa_197,What does Nate love most about having turtles?,4,conv-42,conv-42_session_29_D29:8,dev
conv-42_qa_198,What did Nate share a photo of as a part of his experimentation in November 2022?,4,conv-42,conv-42_session_29_D29:10,dev
conv-43_qa_0,what are John's goals with regards to his basketball career?,1,conv-43,conv-43_session_1_D1:9;conv-43_session_6_D6:15;conv-43_session_11_D11:17,test
conv-43_qa_1,What are John's goals for his career that are not related to his basketball skills?,1,conv-43,conv-43_session_6_D6:15;conv-43_session_11_D11:17,test
conv-43_qa_2,What items does John collect?,1,conv-43,conv-43_session_1_D1:15;conv-43_session_12_D12:18;conv-43_session_27_D27:20,test
conv-43_qa_3,Would Tim enjoy reading books by C. S. Lewis or John Greene?,3,conv-43,conv-43_session_1_D1:14;conv-43_session_1_D1:16;conv-43_session_1_D1:18,test
conv-43_qa_4,What books has Tim read?,1,conv-43,conv-43_session_1_D1:14;conv-43_session_2_D2:7;conv-43_session_6_D6:8;conv-43_session_11_D11:26;conv-43_session_20_D20:21;conv-43_session_26_D26:36;conv-43_session_22_D22:13,test
conv-43_qa_5,"Based on Tim's collections, what is a shop that he would enjoy visiting in New York city?",3,conv-43,conv-43_session_2_D2:9,test
conv-43_qa_6,In which month's game did John achieve a career-high score in points?,2,conv-43,conv-43_session_3_D3:1,test
conv-43_qa_7,Which geographical locations has Tim been to?,1,conv-43,conv-43_session_1_D1:18;conv-43_session_3_D3:2;conv-43_session_14_D14:16,test
conv-43_qa_8,Which outdoor gear company likely signed up John for an endorsement deal?,3,conv-43,conv-43_session_3_D3:15;conv-43_session_25_D25:2,test
conv-43_qa_9,Which endorsement deals has John been offered?,1,conv-43,conv-43_session_3_D3:13;conv-43_session_3_D3:15;conv-43_session_25_D25:2;conv-43_session_29_D29:4,test
conv-43_qa_10,When was John in Seattle for a game?,2,conv-43,conv-43_session_3_D3:19;conv-43_session_5_D5:2,test
conv-43_qa_11,What sports does John like besides basketball?,1,conv-43,conv-43_session_1_D1:7;conv-43_session_2_D2:14;conv-43_session_3_D3:1;conv-43_session_3_D3:25,test
conv-43_qa_12,What year did John start surfing?,2,conv-43,conv-43_session_3_D3:27,test
conv-43_qa_13,What does Tim do to escape reality?,1,conv-43,conv-43_session_2_D2:11;conv-43_session_3_D3:30,test
conv-43_qa_14,What kind of writing does Tim do?,1,conv-43,conv-43_session_2_D2:1;conv-43_session_4_D4:3;conv-43_session_4_D4:5;conv-43_session_15_D15:3,test
conv-43_qa_15,Who is Anthony?,3,conv-43,conv-43_session_4_D4:8,test
conv-43_qa_16,After how many weeks did Tim reconnect with the fellow Harry Potter fan from California?,2,conv-43,conv-43_session_3_D3:2;conv-43_session_5_D5:1,test
conv-43_qa_17,How many games has John mentioned winning?,1,conv-43,conv-43_session_3_D3:3;conv-43_session_5_D5:2;conv-43_session_22_D22:4;conv-43_session_23_D23:7;conv-43_session_24_D24:2,test
conv-43_qa_18,What authors has Tim read books from?,1,conv-43,conv-43_session_1_D1:14;conv-43_session_2_D2:7;conv-43_session_4_D4:7;conv-43_session_5_D5:15;conv-43_unknown_D:11:26;conv-43_session_20_D20:21;conv-43_session_26_D26:36,test
conv-43_qa_19,What is a prominent charity organization that John might want to work with and why?,3,conv-43,conv-43_session_3_D3:13;conv-43_session_3_D3:15;conv-43_session_6_D6:15,test
conv-43_qa_20,Which city was John in before traveling to Chicago?,2,conv-43,conv-43_session_3_D3:19;conv-43_session_5_D5:2;conv-43_session_6_D6:1;conv-43_session_6_D6:3,test
conv-43_qa_21,Which US cities does John mention visiting to Tim?,1,conv-43,conv-43_session_3_D3:19;conv-43_session_6_D6:3;conv-43_session_9_D9:6,test
conv-43_qa_22,When did John meet with his teammates after returning from Chicago?,2,conv-43,conv-43_session_7_D7:1,test
conv-43_qa_23,When is Tim attending a book conference?,2,conv-43,conv-43_session_7_D7:6,test
conv-43_qa_24,Where was John between August 11 and August 15 2023?,2,conv-43,conv-43_session_6_D6:1;conv-43_session_6_D6:3;conv-43_session_7_D7:1,test
conv-43_qa_25,What similar sports collectible do Tim and John own?,1,conv-43,conv-43_session_7_D7:7;conv-43_session_7_D7:9;conv-43_session_16_D16:7;conv-43_session_16_D16:9,test
conv-43_qa_26,Which TV series does Tim mention watching?,1,conv-43,conv-43_session_17_D17:1;conv-43_session_17_D17:11;conv-43_session_26_D26:36,test
conv-43_qa_27,Which popular time management technique does Tim use to prepare for exams?,3,conv-43,conv-43_session_18_D18:3;conv-43_session_18_D18:7,test
conv-43_qa_28,Which popular music composer's tunes does Tim enjoy playing on the piano?,3,conv-43,conv-43_session_8_D8:14;conv-43_session_8_D8:16,test
conv-43_qa_29,What schools did John play basketball in and how many years was he with his team during high school?,1,conv-43,conv-43_session_6_D6:13;conv-43_session_9_D9:4,test
conv-43_qa_30,Which cities has John been to?,1,conv-43,conv-43_session_3_D3:19;conv-43_session_6_D6:3;conv-43_session_9_D9:6;conv-43_session_27_D27:36,test
conv-43_qa_31,What month did Tim plan on going to Universal Studios?,2,conv-43,conv-43_session_10_D10:9,test
conv-43_qa_32,Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios?,3,conv-43,conv-43_session_10_D10:9,test
conv-43_qa_33,When does John plan on traveling with his team on a team trip?,2,conv-43,conv-43_session_11_D11:7,test
