method,qa_id,category,question,gold_answer,prediction,official_score,rF1_cat14,rEM_cat14_project,official_cat5_score,broad_abstention,WrongAbstention_cat14_project
ZScore-RawERK,conv-41_qa_28,1,What causes does John feel passionate about supporting?,"Veterans, schools, infrastructure","Veterans, education, and infrastructure.",0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.0,0.0
ZScore-RawERK,conv-41_qa_29,1,What events is Maria planning for the homeless shelter funraiser?,"Chili cook-off, ring-toss tournament",Ring-toss tournament,0.5,0.5,0.5,,0.0,0.0
ZScore-RawERK,conv-41_qa_3,1,What type of volunteering have John and Maria both done?,Volunteering at a homeless shelter,Volunteering at a homeless shelter.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_30,1,What shelters does Maria volunteer at?,"The homeless shelter, the dog shelter",Homeless shelter,0.75,0.75,0.5,,0.0,0.0
ZScore-RawERK,conv-41_qa_31,2,When did John get his dog Max?,In 2013,10 years ago,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_32,1,What outdoor activities has John done with his colleagues?,"Hiking, mountaineering",Went to a convention together.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_33,1,What types of yoga has Maria practiced?,"Aerial, kundalini","Aerial yoga, kundalini yoga",0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_34,2,When did Maria join a gym?,The week before 16 June 2023,"7:20 pm on 16 June, 2023",0.5454545454545454,0.5454545454545454,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_35,1,What states has Maria vacationed at?,"Oregon, Florida",Florida,0.5,0.5,0.5,,0.0,0.0
ZScore-RawERK,conv-41_qa_36,1,What music events has John attended?,"Live music event, violin concert",A violin concert; a live music event.,0.6607142857142857,0.6607142857142857,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_37,1,What events for veterans has John participated in?,"Petition, march, party, visiting veterans hospital, 5K charity run","- A marching event for veterans' rights  
- A 5K charity run to help veterans and their families  
- A small party inviting veterans to share their stories",0.10303030303030303,0.10303030303030303,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_38,2,When did Maria get in a car accident?,"July 2, 2023","8:43 pm on 3 July, 2023",0.4444444444444444,0.4444444444444444,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_39,3,Around which US holiday did Maria get into a car accident?,Independence Day,Independence Day,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_4,2,When did John join the online support group?,The week before 1 January 2023,"8:30 pm on 1 January, 2023",0.5454545454545454,0.5454545454545454,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_40,1,What are the names of John's children?,"Kyle, Sara",Kyle,0.5,0.5,0.5,,0.0,0.0
ZScore-RawERK,conv-41_qa_41,3,Does John live close to a beach or the mountains?,beach,The context does not specify.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_42,1,What area was hit by a flood?,West County,My old area,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_43,2,When was John's old area hit with a flood?,The week before 7 July 2023,Last week.,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_44,1,What activities has Maria done with her church friends?,"Hiking, picnic, volunteer work","Picnic, hiking, community work, camping.",0.8333333333333334,0.8333333333333334,0.6666666666666666,,0.0,0.0
ZScore-RawERK,conv-41_qa_45,3,Would John be open to moving to another country?,"No, he has goals specifically in the U.S. like joining the military and running for office.",The context does not provide information on John's openness to moving to another country.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_46,2,When did Maria go hiking with her church friends?,The weekend before 22 July 2023,Last weekend,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_47,1,What exercises has John done?,"Weight training, Circuit training, Kickboxing, yoga",Weight training,0.375,0.375,0.25,,0.0,0.0
ZScore-RawERK,conv-41_qa_48,2,When did John have his first firefighter call-out?,The sunday before 3` July 2023,Last Sunday,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_49,1,What food item did Maria drop off at the homeless shelter?,Cakes,That stuff I baked,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_5,2,When did Maria go to the beach?,December 2022,Last month.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_50,3,What attributes describe John?,"Selfless, family-oriented, passionate, rational",Unconditional love and loyalty,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_51,2,When did Maria start volunteering at the homeless shelter?,Around August 2022,About a year ago after witnessing a family struggling on the streets.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_52,1,Who have written notes of gratitude to Maria?,"Cindy, Laura","Laura, Cindy",1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_53,2,When did John help renovate his hometown community center?,2022,Last year,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_54,2,When did Maria take up community work with her church friends?,"August 4, 2023",Yesterday,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_55,2,When did Maria receive a medal from the homeless shelter?,The week before 9 August 2023,Last week,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_56,2,When did John participate in a 5K charity run?,first weekend of August 2023,"9 August, 2023",0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_57,1,What causes has John done events for?,"Toy drive, Community food drive, veterans, domestic violence","Homeless shelter, kids in need, victims of domestic abuse, veterans and their families, unemployment.",0.20833333333333331,0.20833333333333331,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_58,2,When did Maria get Coco?,Two weeks before 11 August 2023,Two weeks ago.,0.4444444444444444,0.4444444444444444,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_59,2,When did John go on a camping trip with Max?,The summer of 2022,Last summer,0.4,0.4,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_6,1,Where has Maria made friends?,"homeless shelter, gym, church",With one of her fellow volunteers.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_60,1,What are Maria's dogs' names?,"Coco, Shadow",Shadow and Coco,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_61,2,When did Maria adopt Shadow?,The week before 13 August 2023,Last week.,0.28571428571428575,0.28571428571428575,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_62,1,How many dogs has Maria adopted from the dog shelter she volunteers at?,two,One,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_63,2,How many weeks passed between Maria adopting Coco and Shadow?,two weeks,One week.,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_64,3,What job might Maria pursue in the future?,"Shelter coordinator, Counselor",No information provided.,0.0,0.0,0.0,,1.0,1.0
ZScore-RawERK,conv-41_qa_65,4,What is John's main focus in local politics?,Improving education and infrastructure,Improving education and infrastructure,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_66,4,What sparked John's interest in improving education and infrastructure in the community?,Seeing how lack of education and crumbling infrastructure affected his neighborhood while growing up.,"Growing up, John saw how lack of education and crumbling infrastructure affected his neighborhood.",0.8461538461538461,0.8461538461538461,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_67,4,How did the extra funding help the school shown in the photo shared by John?,"Enabled needed repairs and renovations, making the learning environment safer and more modern for students.",It really made a difference for schools and students.,0.2105263157894737,0.2105263157894737,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_68,4,What type of workout class did Maria start doing in December 2023?,aerial yoga,aerial yoga,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_69,4,What did Maria donate to a homeless shelter in December 2023?,old car,my old car,0.8,0.8,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_7,1,What items des John mention having as a child?,"A doll, a film camera",A little doll.,0.3333333333333333,0.3333333333333333,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_70,4,What kind of meal did John and his family make together in the photo shared by John?,pizza,Pizza,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_71,4,What kind of online group did John join?,service-focused online group,A service-focused online group,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_72,4,What kind of activities did John and his mates from the online group do as part of their service efforts?,"gave out food and supplies at a homeless shelter, organized a toy drive for kids in need",Went to a homeless shelter to give out food and supplies and organized a toy drive for kids in need.,0.7999999999999999,0.7999999999999999,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_73,4,Who inspired Maria to start volunteering?,Her aunt,My aunt,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_74,4,Why did Maria sit with the little girl at the shelter event in February 2023?,The girl seemed sad and had no other family,She seemed so sad.,0.36363636363636365,0.36363636363636365,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_75,4,What did Jean go through before meeting Maria?,"divorce, job loss, homelessness",A lot.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_76,4,Why did John decide to run for office again?,saw the impact he could make in the community through politics,I saw the impact I could make in the community through politics.,0.8421052631578948,0.8421052631578948,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_77,4,"What activity did John's colleague, Rob, invite him to?",beginner's yoga class,A beginner's yoga class.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_78,4,What is the name of John's one-year-old child?,Kyle,Kyle,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_79,4,How often does John take his kids to the park?,A few times a week,A few times a week.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_8,3,What might John's financial status be?,Middle-class or wealthy,My kids have so much.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_80,4,What did Maria make for her home to remind her of a trip to England?,painting of a castle on a hill,a painting,0.33333333333333337,0.33333333333333337,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_81,4,Where did Maria get the idea for the castle shadow box in her home?,England,From a trip to England a few years ago.,0.25,0.25,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_82,4,What did John receive a certificate for?,completion of a university degree,I graduated last week!,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_83,4,What areas is John particularly interested in for policymaking?,education and infrastructure,Improving education and infrastructure.,0.8,0.8,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_84,4,"What did Maria participate in last weekend before April 10, 2023?",a 5K charity run,5K charity run for a homeless shelter,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_85,4,What event did John volunteer at last weekend?,career fair at a local school,A community event to raise money for a good cause.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_86,4,What did John do that put a strain on his wallet?,His car broke down,My car broke down.,0.75,0.75,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_87,4,Where did John explore on a road trip last year?,Pacific Northwest,The coast up in the Pacific Northwest and some cool national parks.,0.3636363636363636,0.3636363636363636,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_88,4,What topic has John been blogging about recently?,politics and the government,Politics and the government,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_89,4,Why did John start blogging about politics and policies?,raise awareness and start conversations to create positive change,To raise awareness and start conversations to create positive change.,0.9411764705882353,0.9411764705882353,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_9,1,Who gave Maria's family money when she was younger and her family was going through tough times?,Her aunt,her auntie,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_90,4,What was the focus of John's recent research and writing on his blog?,education reform and infrastructure development,Policies and his thoughts and ideas.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_91,2,What did John attend with his colleagues in March 2023?,a tech-for-good convention,A convention.,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_92,4,How often does John work out with his family?,Three times a week,A few times a week.,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_93,4,How has John's fitness improved since starting boot camps with his family?,"More energy, gains in strength and endurance","""Lots more energy and noticed some gains in strength and endurance.""",0.8,0.8,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_94,4,What kind of food did Maria have on her dinner spread iwth her mother?,"Salads, sandwiches, homemade desserts",Not mentioned.,0.0,0.0,0.0,,1.0,1.0
ZScore-RawERK,conv-41_qa_95,4,What activity did Maria and her mom do together in May 2023?,Made dinner together,Made some dinner together.,0.8571428571428571,0.8571428571428571,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_96,4,What did Maria do to feel closer to a community and her faith?,joined a nearby church,Joined a nearby church.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_97,4,Why did Maria join a nearby church recently?,to feel closer to a community and her faith,To feel closer to a community and her faith.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_98,4,What did John host for the veterans in May 2023 as part of the project?,a small party to share their stories,A small party.,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-41_qa_99,4,What did John and the veterans do during the small party?,share stories and make connections,Shared their stories and made connections.,0.6666666666666665,0.6666666666666665,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_0,3,Is it likely that Nate has friends besides Joanna?,Yesteammates on hisvideo game team.,Yes.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_1,1,What kind of interests do Joanna and Nate share?,"Watching movies, making desserts",A mix of drama and romance.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_10,1,What emotions is Joanna feeling about  the screenplay she submitted?,"Relief, excitement,worry, hope,anxiety.","Relief, excitement, worry, and anxiety.",0.8,0.8,0.8,,0.0,0.0
ZScore-RawERK,conv-42_qa_100,4,For how long has Nate had his turtles?,3 years,"Since 23 January, 2022.",0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_101,4,What did Nate think of the coconut milk ice cream he made?,"Super good, rich and creamy",It was actually pretty good.,0.22222222222222224,0.22222222222222224,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_102,4,Which dairy-free dessert flavors does Nate enjoy?,chocolate and mixed berry,"Coconut milk, chocolate, mixed berry flavors",0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_103,4,"What did Joanna recently watch and recommend to Nate on February 7, 2022?","""Little Women""",Any good ones you'd recommend?,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_104,4,"What is ""Little Women"" about according to Joanna?","Sisterhood, love, and reaching for your dreams","Sisterhood, love, and chasing dreams.",0.6,0.6,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_105,4,"What flavor of ice cream did Nate make for his friend on 25 February, 2022?",chocolate and vanilla swirl,Coconut milk ice cream,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_106,4,"What inspired Joanna's new screenplay on 25 February, 2022?",personal experiences and her own journey of self-discovery,A journey of self-discovery after a loss.,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_107,4,Why does Nate like turtles as pets?,Their slow pace and calming nature,They're unique and their slow pace is a nice change from the rush of life.,0.35294117647058826,0.35294117647058826,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_108,4,How does Nate describe the process of taking care of turtles?,"Not tough; keep their area clean, feed them properly, give them enough light.",Low-maintenance and calming.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_109,4,What was Joanna's audition for?,writing gig,A writing gig.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_11,1,What is Joanna allergic to?,"Most reptiles,animals with fur,cockroaches, dairy","Most reptiles, animals with fur, cockroaches.",0.75,0.75,0.75,,0.0,0.0
ZScore-RawERK,conv-42_qa_110,4,Why did Nate choose the hair color he did?,Bright and bold - like him,Because it's bright and bold - like him.,0.8,0.8,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_111,4,What are the main ingredients of the ice cream recipe shared by Nate?,"Coconut milk, vanilla extract, sugar, salt","Coconut milk, vanilla extract, sugar, and a pinch of salt.",0.8571428571428571,0.8571428571428571,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_112,4,What is Joanna's project called in the writers group?,"""Finding Home""","""Finding Home""",1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_113,4,What is Nate's favorite genre of movies?,Fantasy and sci-fi,Fantasy and sci-fi movies,0.8,0.8,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_114,4,What kind of books does Nate enjoy?,Adventures and magic,Not mentioned in the context.,0.0,0.0,0.0,,1.0,1.0
ZScore-RawERK,conv-42_qa_115,4,What kind of films does Joanna enjoy?,Dramas and emotionally-driven films,Dramas and emotionally-driven films.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_116,4,Which activity helps Nate escape and stimulates his imagination?,watching fantasy and sci-fi movies,Playing video games.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_117,4,What filling did Joanna use in the cake she made recently in May 2022?,strawberry,strawberry filling,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_118,4,What kind of frosting did Joanna use on the cake she made recently in May 2022?,coconut cream,Coconut cream frosting,0.8,0.8,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_119,4,What does Nate feel he could do when out in cool places like Whispering Falls?,write a whole movie,I'm not really into hiking.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_12,3,What underlying condition might Joanna have based on her allergies?,asthma,"Allergies to most reptiles, animals with fur, and cockroaches.",0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_120,4,What creative activity does Nate joke about pursuing after being inspired by their hikes with Jo?,Start thinking about a drama and publish a screenplay,Hiking,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_121,4,Who invited Nate to join her on the trails sometime?,Joanna,Joanna,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_122,4,"What did Nate do for Joanna on 25 May, 2022?",get her a stuffed animal,Thanks for the invite Joanna!,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_123,4,How does Nate describe the stuffed animal he got for Joanna?,A stuffed animal to remind you of the good vibes,A stuffed animal to remind you of the good vibes.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_124,4,What event is Nate organizing in June 2022?,A gaming party,Gaming party,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_125,4,Who did Nate plan to invite to his gaming party in June 2022?,"Tournament friends, old friends, teammates",Joanna,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_126,4,What special items did Nate get for everyone at his gaming party?,Custom controller decorations,Custom controller decorations,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_127,4,What did Joanna write yesterday that appeared on the big screen?,screenplay bits,A few bits for a screenplay.,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_128,4,What superhero is Joanna a fan of?,Spider-Man,Spider-Man,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_129,4,Which superhero toy figure does Nate share a photo of?,Iron Man,Iron Man,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_13,2,When did Joanna have an audition for a writing gig?,"23 March, 2022.","1:43 pm on 24 March, 2022",0.4444444444444444,0.4444444444444444,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_130,4,What is displayed on Joanna's cork board for motivation and creativity?,"inspiring quotes, photos, and little keepsakes",Inspiring quotes and pictures,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_131,4,What does the photo on Joanna's cork board remind her of?,love and encouragement from her family,The love and encouragement from them every day.,0.5454545454545454,0.5454545454545454,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_132,4,What did Nate make and share with his vegan diet group?,vegan ice cream,Vegan ice cream,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_133,4,How many people attended the gaming party hosted by Nate in June 2022?,7,7 people,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_134,4,What recipe Nate offer to share with Joanna?,vegan ice cream recipe,Dairy-free desserts,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_135,4,What did Joanna plan to do with the recipe Nate promised to share?,make it for her family,Surprise her family with something delicious.,0.3636363636363636,0.3636363636363636,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_136,4,"How many video game tournaments has Nate won by July 10, 2022?",Four,Four,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_137,4,Where did Joanna go for a road trip for research?,Woodhaven,Woodhaven,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_138,4,What did Joanna discover at the library in Woodhaven?,cool old book collection,a super cool book from the 1900s with stories and sketches,0.3333333333333333,0.3333333333333333,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_139,4,What specific themes are explored in Joanna's new book?,"loss, redemption, and forgiveness","Loss, identity, and connection.",0.3333333333333333,0.3333333333333333,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_14,3,What nickname does Nate use for Joanna?,Jo,Joanna,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_140,4,What inspired Joanna's new script in July 2022?,Woodhaven's interesting past and people,A journey of self-discovery after a loss.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_141,4,What did Nate do while Joanna was on her road trip?,Won a video game tournament,Winning.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_142,4,What does Nate do that he loves and can make money from?,Competing in video game tournaments,Playing video games.,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_143,4,How did Joanna feel when someone wrote her a letter after reading her blog post?,Touched,Their words touched me.,0.4,0.4,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_144,4,What kind of impact does Joanna hope to have with her writing?,share her stories and hopefully have an impact,Make a difference.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_145,4,What kind of content did Joanna share that someone wrote her a letter about?,A blog post about a hard moment in her life,An online blog post.,0.36363636363636365,0.36363636363636365,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_146,4,What motivates Joanna to keep writing even on tough days?,Knowing that her writing can make a difference,Knowing that her writing can make a difference.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_147,4,What type of ice cream does Joanna mention that Nate makes and is delicious?,Coconut milk ice cream,Coconut milk ice cream,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_148,4,How did Nate feel about sharing his love for dairy-free desserts with Joanna?,Happy to share,Fun and rewarding,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_149,4,What did Joanna share with her writers group in August 2022?,her book,My book,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_15,2,When did Nate get purple hair?,"The week before 15April, 2022.","7:37 pm on 15 April, 2022",0.2,0.2,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_150,4,How did Joanna celebrate after sharing her book with her writers group?,making a delicious treat,Making a delicious treat.,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_151,4,How did Nate celebrate winning the international tournament?,Taking time off to chill with pets,Helping some friends reset their high scores at the international tournament.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_152,4,Why is Joanna experimenting with dairy-free options in her dessert recipes?,lactose intolerance,She's lactose intolerant.,0.8,0.8,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_153,4,What substitution does Nate suggest for butter in dairy-free baking?,dairy-free margarine or coconut oil,Dairy-free margarine or coconut oil,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_154,4,What type of show did Nate host where he taught vegan ice cream recipes?,a cooking show,Cooking show,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_155,4,What is Nate's favorite dish from the cooking show he hosted?,Coconut milk ice cream,Vegan ice cream recipes,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_156,4,What is one of Nate's favorite dairy-free treats besides coconut milk ice cream?,dairy-free chocolate mousse,Dairy-free chocolate mousse,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_157,4,"What dessert did Joanna share a photo of that has an almond flour crust, chocolate ganache, and fresh raspberries?",chocolate raspberry tart,Chocolate raspberry tart,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_158,4,What kind of cake did Joanna share a photo of that she likes making for birthdays and special days?,chocolate cake with raspberries,"Almond flour, coconut oil, chocolate, and raspberries cake.",0.5454545454545454,0.5454545454545454,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_159,4,"What two main ingredients are part of the dessert Joanna shared a photo of with blueberries, coconut milk, and a gluten-free crust?",blueberries and coconut milk,"Blueberries, coconut milk",1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_16,2,What physical transformation did Nate undergo in April 2022?,dyed his hair purple,Must feel so liberating!,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_160,4,"What movie did Nate recently watch and enjoy on October 6, 2022?",Little Women,"""Inception""",0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_161,4,What did Joanna make for one of the ladies at her writing club?,a bookmark,a cute little bookmark,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_162,4,"What game did Nate play at the game convention he attended on 9 October, 2022?",Catan,Catan,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_163,4,What movie has Nate recently seen that blew his mind?,"""Inception""","""Inception""",1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_164,4,"What game has Nate been playing nonstop with a futuristic setting and gameplay on October 9, 2022?",Cyberpunk 2077,"""Cyberpunk 2077""",1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_165,4,What did Nate share a photo of when mentioning unwinding at home?,a bookcase filled with dvds and movies,No photo was mentioned.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_166,4,How did Joanna describe the classic movie he watched?,gripping with great actors,The story was so gripping and the actors were great.,0.5454545454545454,0.5454545454545454,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_167,4,What does Joanna recommend to make a living room comfy like hers?,"couch for multiple people, fluffy blanket, lights that can be dimmed","A couch that can sit multiple people, a blanket that has a little bit of weight to it, and some lights that can be dimmed.",0.5625,0.5625,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_168,4,What helps Joanna stay focused and brings her joy?,stuffed animal dog named Tilly,Tilly,0.33333333333333337,0.33333333333333337,0.0,,0.0,0.0
ZScore-RawERK,conv-42_qa_169,4,What does Joanna do while she writes?,have a stuffed animal dog named Tilly with her,Hanging with friends,0.18181818181818182,0.18181818181818182,0.0,,0.0,0.0
