qa_id,sample_id,category,question,gold_memory_ids,gold_count
conv-42_qa_3,conv-42,2,When did Nate win his first video game tournament?,"[""conv-42_session_1_D1:3""]",1
conv-42_qa_4,conv-42,3,What pets wouldn't cause any discomfort to Joanna?,"[""conv-42_session_2_D2:23""]",1
conv-42_qa_5,conv-42,1,What are Joanna's hobbies?,"[""conv-42_session_1_D1:10"", ""conv-42_session_2_D2:25""]",2
conv-42_qa_6,conv-42,2,How long has Nate had his first two turtles?,"[""conv-42_session_2_D2:12""]",1
conv-42_qa_7,conv-42,2,When did Joanna finish her first screenplay?,"[""conv-42_session_2_D2:3""]",1
conv-42_qa_8,conv-42,2,When did Nate get his first two turtles?,"[""conv-42_session_2_D2:12""]",1
conv-42_qa_9,conv-42,2,What major achievement did Joanna accomplish in January 2022?,"[""conv-42_session_2_D2:3""]",1
conv-42_qa_10,conv-42,1,What emotions is Joanna feeling about  the screenplay she submitted?,"[""conv-42_session_2_D2:7"", ""conv-42_session_3_D3:1""]",2
conv-42_qa_11,conv-42,1,What is Joanna allergic to?,"[""conv-42_session_4_D4:4"", ""conv-42_session_5_D5:11"", ""conv-42_session_2_D2:23""]",3
conv-42_qa_12,conv-42,3,What underlying condition might Joanna have based on her allergies?,"[""conv-42_session_5_D5:11"", ""conv-42_session_2_D2:23""]",2
conv-42_qa_13,conv-42,2,When did Joanna have an audition for a writing gig?,"[""conv-42_session_6_D6:2""]",1
conv-42_qa_14,conv-42,3,What nickname does Nate use for Joanna?,"[""conv-42_session_7_D7:1""]",1
conv-42_qa_15,conv-42,2,When did Nate get purple hair?,"[""conv-42_session_7_D7:1""]",1
conv-42_qa_16,conv-42,2,What physical transformation did Nate undergo in April 2022?,"[""conv-42_session_7_D7:1"", ""conv-42_session_7_D7:3""]",2
conv-42_qa_17,conv-42,2,"What movie did Joanna watch on 1 May, 2022?","[""conv-42_session_10_D10:1""]",1
conv-42_qa_18,conv-42,2,Which outdoor spot did Joanna visit in May?,"[""conv-42_session_11_D11:7""]",1
conv-42_qa_19,conv-42,1,How many times has Joanna found new hiking trails?,"[""conv-42_session_8_D8:4"", ""conv-42_session_11_D11:3""]",2
conv-42_qa_20,conv-42,2,When did Nate adopt Max?,"[""conv-42_session_12_D12:3""]",1
conv-42_qa_21,conv-42,2,Who was the new addition to Nate's family in May 2022?,"[""conv-42_session_12_D12:3""]",1
conv-42_qa_22,conv-42,2,When did Joanna start writing her third screenplay?,"[""conv-42_session_12_D12:13"", ""conv-42_session_12_D12:14""]",2
conv-42_qa_23,conv-42,1,Which of Joanna's screenplay were rejected from production companies?,"[""conv-42_session_14_D14:1"", ""conv-42_session_3_D3:1"", ""conv-42_session_2_D2:7"", ""conv-42_session_24_D24:12"", ""conv-42_session_24_D24:13""]",5
conv-42_qa_24,conv-42,2,When is Nate hosting a gaming party?,"[""conv-42_session_14_D14:20""]",1
conv-42_qa_25,conv-42,2,When did Joanna hike with her buddies?,"[""conv-42_session_14_D14:19""]",1
conv-42_qa_26,conv-42,2,When did Nate win his third tourney?,"[""conv-42_session_14_D14:8""]",1
conv-42_qa_27,conv-42,1,What places has Joanna submitted her work to?,"[""conv-42_session_2_D2:7"", ""conv-42_session_16_D16:1""]",2
conv-42_qa_28,conv-42,2,When did Nate make vegan icecream and share it with a vegan diet group?,"[""conv-42_session_16_D16:8""]",1
conv-42_qa_29,conv-42,2,When is Joanna going to make Nate's ice cream for her family?,"[""conv-42_session_16_D16:11""]",1
conv-42_qa_30,conv-42,1,What kind of writings does Joanna do?,"[""conv-42_session_2_D2:3"", ""conv-42_session_17_D17:14"", ""conv-42_session_18_D18:1"", ""conv-42_session_18_D18:5""]",4
conv-42_qa_31,conv-42,2,When did Nate win his fourth video game tournament?,"[""conv-42_session_17_D17:1""]",1
conv-42_qa_32,conv-42,2,Where did Joanna travel to in July 2022?,"[""conv-42_session_17_D17:4""]",1
conv-42_qa_33,conv-42,2,When did someone write Joanna a touching letter?,"[""conv-42_session_18_D18:5""]",1
conv-42_qa_34,conv-42,1,What book recommendations has Joanna given to Nate?,"[""conv-42_session_3_D3:17"", ""conv-42_session_19_D19:14"", ""conv-42_session_19_D19:16""]",3
conv-42_qa_35,conv-42,2,When did Nate take time off to chill with his pets?,"[""conv-42_session_19_D19:9""]",1
conv-42_qa_36,conv-42,2,When did Joanna share her book with her writers group?,"[""conv-42_session_19_D19:6""]",1
conv-42_qa_37,conv-42,2,When did Nate win an international tournament?,"[""conv-42_session_19_D19:1""]",1
conv-42_qa_38,conv-42,2,When did Joanna make a desert with almond milk?,"[""conv-42_session_21_D21:9""]",1
conv-42_qa_39,conv-42,2,When did Nate attend a cooking show?,"[""conv-42_session_21_D21:4""]",1
conv-42_qa_40,conv-42,2,When did Joanna's laptop crash?,"[""conv-42_session_21_D21:1""]",1
conv-42_qa_41,conv-42,2,When did Joanna make a chocolate tart with raspberries?,"[""conv-42_session_22_D22:1""]",1
conv-42_qa_42,conv-42,1,What movies have both Joanna and Nate seen?,"[""conv-42_session_3_D3:17"", ""conv-42_session_10_D10:1"", ""conv-42_session_22_D22:8""]",3
conv-42_qa_43,conv-42,2,How long did it take for Joanna to finish writing her book?,"[""conv-42_session_17_D17:14"", ""conv-42_session_22_D22:9""]",2
conv-42_qa_44,conv-42,2,When did Nate win a lot of money in a video game tournament?,"[""conv-42_session_22_D22:2""]",1
conv-42_qa_45,conv-42,2,When did Joanna finish up the writing for her book?,"[""conv-42_session_22_D22:9""]",1
conv-42_qa_46,conv-42,1,What board games has Nate played?,"[""conv-42_session_16_D16:2"", ""conv-42_session_23_D23:7""]",2
conv-42_qa_47,conv-42,1,What places has Nate met new people?,"[""conv-42_session_14_D14:8"", ""conv-42_session_23_D23:1""]",2
conv-42_qa_48,conv-42,2,When did Nate go to a convention and meet new people?,"[""conv-42_session_23_D23:1""]",1
conv-42_qa_49,conv-42,1,How many times has Joanna's scripts been rejected?,"[""conv-42_session_14_D14:1"", ""conv-42_session_24_D24:12""]",2
conv-42_qa_50,conv-42,1,What is something Nate gave to Joanna that brings her a lot of joy?,"[""conv-42_session_13_D13:9"", ""conv-42_session_24_D24:2""]",2
conv-42_qa_51,conv-42,1,When did Nate get Tilly for Joanna?,"[""conv-42_session_13_D13:9"", ""conv-42_session_24_D24:2""]",2
conv-42_qa_52,conv-42,1,How many of Joanna's writing have made it to the big screen?,"[""conv-42_session_15_D15:1"", ""conv-42_session_25_D25:2""]",2
conv-42_qa_53,conv-42,1,How many times has Nate taken his turtles on a walk?,"[""conv-42_session_5_D5:4"", ""conv-42_session_25_D25:15""]",2
conv-42_qa_54,conv-42,2,When was Joanna's second movie script shown on the big screens?,"[""conv-42_session_25_D25:1""]",1
conv-42_qa_55,conv-42,1,What is Joanna inspired by?,"[""conv-42_session_4_D4:6"", ""conv-42_session_7_D7:6"", ""conv-42_session_11_D11:11"", ""conv-42_session_26_D26:3"", ""conv-42_session_26_D26:7"", ""conv-42_session_25_D25:10""]",6
conv-42_qa_56,conv-42,1,What animal do both Nate and Joanna like?,"[""conv-42_session_5_D5:6"", ""conv-42_session_26_D26:9""]",2
conv-42_qa_57,conv-42,2,When did Joanna plan to go over to Nate's and share recipes?,"[""conv-42_session_26_D26:19""]",1
conv-42_qa_59,conv-42,1,What does Joanna do to remember happy memories?,"[""conv-42_session_15_D15:9"", ""conv-42_session_27_D27:34""]",2
conv-42_qa_60,conv-42,3,What Console does Nate own?,"[""conv-42_session_27_D27:23""]",1
conv-42_qa_61,conv-42,1,What mediums does Nate use to play games?,"[""conv-42_session_22_D22:2"", ""conv-42_session_27_D27:21"", ""conv-42_session_27_D27:15""]",3
conv-42_qa_62,conv-42,1,How many letters has Joanna recieved?,"[""conv-42_session_14_D14:1"", ""conv-42_session_18_D18:5""]",2
conv-42_qa_63,conv-42,1,What video games does Nate play?,"[""conv-42_session_10_D10:6"", ""conv-42_session_27_D27:1"", ""conv-42_session_27_D27:23"", ""conv-42_session_1_D1:7"", ""conv-42_session_23_D23:17""]",5
conv-42_qa_64,conv-42,2,When did Nate win a big Valorant tourney?,"[""conv-42_session_27_D27:1""]",1
conv-42_qa_65,conv-42,2,Which torunament did Nate win in the beginning of November 2022?,"[""conv-42_session_27_D27:1""]",1
conv-42_qa_66,conv-42,3,What alternative career might Nate consider after gaming?,"[""conv-42_session_5_D5:8"", ""conv-42_session_19_D19:3"", ""conv-42_session_25_D25:19"", ""conv-42_session_28_D28:25""]",4
conv-42_qa_67,conv-42,1,What pets does Nate have?,"[""conv-42_session_8_D8:3"", ""conv-42_session_12_D12:3"", ""conv-42_session_28_D28:23""]",3
conv-42_qa_68,conv-42,3,How many hikes has Joanna been on?,"[""conv-42_session_7_D7:6"", ""conv-42_session_11_D11:5"", ""conv-42_session_14_D14:21"", ""conv-42_session_28_D28:22""]",4
conv-42_qa_69,conv-42,1,How many turtles does Nate have?,"[""conv-42_session_8_D8:3"", ""conv-42_session_28_D28:23""]",2
conv-42_qa_70,conv-42,1,What activities does Nate do with his turtles?,"[""conv-42_session_25_D25:21"", ""conv-42_session_25_D25:23"", ""conv-42_session_28_D28:31""]",3
conv-42_qa_71,conv-42,1,What do both Joanna and Nate appreciate the beauty of?,"[""conv-42_session_11_D11:9"", ""conv-42_session_28_D28:23""]",2
conv-42_qa_72,conv-42,2,When did Joanna plan on going to Nate's to watch him play with his turtles?,"[""conv-42_session_28_D28:32""]",1
conv-42_qa_73,conv-42,3,What state did Joanna visit in summer 2021?,"[""conv-42_session_28_D28:22""]",1
conv-42_qa_74,conv-42,1,What recommendations has Nate received from Joanna?,"[""conv-42_session_1_D1:16"", ""conv-42_session_3_D3:17"", ""conv-42_session_15_D15:14"", ""conv-42_session_15_D15:15"", ""conv-42_session_19_D19:15"", ""conv-42_session_19_D19:16"", ""conv-42_session_23_D23:26""]",7
conv-42_qa_75,conv-42,1,What are Nate's favorite desserts?,"[""conv-42_session_3_D3:4"", ""conv-42_session_3_D3:10"", ""conv-42_session_21_D21:10"", ""conv-42_session_3_D3:12""]",4
conv-42_qa_76,conv-42,1,How has Nate tried to disburse his vegan ice-cream recipes?,"[""conv-42_session_18_D18:8"", ""conv-42_session_21_D21:4""]",2
conv-42_qa_77,conv-42,2,When did Nate win his second tournament?,"[""conv-42_session_10_D10:4""]",1
conv-42_qa_78,conv-42,1,How many video game tournaments has Nate participated in?,"[""conv-42_session_1_D1:3"", ""conv-42_session_6_D6:7"", ""conv-42_session_10_D10:4"", ""conv-42_session_14_D14:8"", ""conv-42_session_17_D17:1"", ""conv-42_session_19_D19:1"", ""conv-42_session_20_D20:1"", ""conv-42_session_22_D22:2"", ""conv-42_session_27_D27:1""]",9
conv-42_qa_79,conv-42,1,How many screenplays has Joanna written?,"[""conv-42_session_2_D2:3"", ""conv-42_session_4_D4:10"", ""conv-42_session_5_D5:1"", ""conv-42_session_12_D12:13"", ""conv-42_session_12_D12:14""]",5
conv-42_qa_80,conv-42,1,How many tournaments has Nate won?,"[""conv-42_session_1_D1:3"", ""conv-42_session_10_D10:4"", ""conv-42_session_14_D14:8"", ""conv-42_session_17_D17:1"", ""conv-42_session_19_D19:1"", ""conv-42_session_22_D22:2"", ""conv-42_session_27_D27:1""]",7
conv-42_qa_81,conv-42,1,What recipes has Joanna made?,"[""conv-42_session_10_D10:9"", ""conv-42_session_10_D10:11"", ""conv-42_session_19_D19:8"", ""conv-42_session_20_D20:2"", ""conv-42_session_20_D20:10"", ""conv-42_session_21_D21:11"", ""conv-42_session_22_D22:1"", ""conv-42_session_21_D21:3"", ""conv-42_session_21_D21:17""]",9
conv-42_qa_82,conv-42,1,What recipes has Nate made?,"[""conv-42_session_3_D3:4"", ""conv-42_session_4_D4:3""]",2
conv-42_qa_83,conv-42,1,What are the skills that Nate has helped others learn?,"[""conv-42_session_18_D18:8"", ""conv-42_session_26_D26:12"", ""conv-42_session_14_D14:16""]",3
conv-42_qa_84,conv-42,3,Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.,"[""conv-42_session_20_D20:1"", ""conv-42_session_21_D21:1""]",2
conv-42_qa_85,conv-42,3,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,"[""conv-42_session_29_D29:1""]",1
conv-42_qa_86,conv-42,2,When did Nate take his turtles to the beach?,"[""conv-42_session_29_D29:6""]",1
conv-42_qa_87,conv-42,3,What state did Nate visit?,"[""conv-42_session_29_D29:6""]",1
conv-42_qa_89,conv-42,4,What color did Nate choose for his hair?,"[""conv-42_session_7_D7:1"", ""conv-42_session_7_D7:3""]",2
conv-42_qa_90,conv-42,4,What is Nate's favorite movie trilogy?,"[""conv-42_session_9_D9:12""]",1
conv-42_qa_91,conv-42,4,What is Nate's favorite book series about?,"[""conv-42_session_9_D9:14""]",1
conv-42_qa_92,conv-42,4,What kind of lighting does Nate's gaming room have?,"[""conv-42_session_10_D10:2""]",1
conv-42_qa_93,conv-42,4,What game was the second tournament that Nate won based on?,"[""conv-42_session_10_D10:4"", ""conv-42_session_10_D10:6""]",2
conv-42_qa_94,conv-42,4,What is Joanna's third screenplay about?,"[""conv-42_session_12_D12:13"", ""conv-42_session_12_D12:14""]",2
conv-42_qa_95,conv-42,4,What is Nate's favorite video game?,"[""conv-42_session_27_D27:22"", ""conv-42_session_27_D27:23""]",2
conv-42_qa_96,conv-42,4,What type of movies does Nate enjoy watching the most?,"[""conv-42_session_1_D1:13""]",1
conv-42_qa_97,conv-42,4,"What did Joanna just finish last Friday on 23 January, 2022?","[""conv-42_session_2_D2:3""]",1
conv-42_qa_98,conv-42,4,What genre is Joanna's first screenplay?,"[""conv-42_session_2_D2:5""]",1
conv-42_qa_99,conv-42,4,What are Joanna's plans for her finished screenplay in January 2022?,"[""conv-42_session_2_D2:7""]",1
conv-42_qa_100,conv-42,4,For how long has Nate had his turtles?,"[""conv-42_session_2_D2:12""]",1
conv-42_qa_101,conv-42,4,What did Nate think of the coconut milk ice cream he made?,"[""conv-42_session_3_D3:6""]",1
conv-42_qa_102,conv-42,4,Which dairy-free dessert flavors does Nate enjoy?,"[""conv-42_session_3_D3:10""]",1
conv-42_qa_103,conv-42,4,"What did Joanna recently watch and recommend to Nate on February 7, 2022?","[""conv-42_session_3_D3:17""]",1
conv-42_qa_104,conv-42,4,"What is ""Little Women"" about according to Joanna?","[""conv-42_session_3_D3:17""]",1
conv-42_qa_105,conv-42,4,"What flavor of ice cream did Nate make for his friend on 25 February, 2022?","[""conv-42_session_4_D4:3""]",1
conv-42_qa_106,conv-42,4,"What inspired Joanna's new screenplay on 25 February, 2022?","[""conv-42_session_4_D4:16""]",1
conv-42_qa_107,conv-42,4,Why does Nate like turtles as pets?,"[""conv-42_session_5_D5:6""]",1
conv-42_qa_108,conv-42,4,How does Nate describe the process of taking care of turtles?,"[""conv-42_session_5_D5:8""]",1
conv-42_qa_109,conv-42,4,What was Joanna's audition for?,"[""conv-42_session_6_D6:2""]",1
conv-42_qa_110,conv-42,4,Why did Nate choose the hair color he did?,"[""conv-42_session_7_D7:5""]",1
conv-42_qa_111,conv-42,4,What are the main ingredients of the ice cream recipe shared by Nate?,"[""conv-42_session_8_D8:19""]",1
conv-42_qa_112,conv-42,4,What is Joanna's project called in the writers group?,"[""conv-42_session_9_D9:3""]",1
conv-42_qa_113,conv-42,4,What is Nate's favorite genre of movies?,"[""conv-42_session_9_D9:10""]",1
conv-42_qa_114,conv-42,4,What kind of books does Nate enjoy?,"[""conv-42_session_9_D9:14""]",1
conv-42_qa_115,conv-42,4,What kind of films does Joanna enjoy?,"[""conv-42_session_9_D9:9""]",1
conv-42_qa_116,conv-42,4,Which activity helps Nate escape and stimulates his imagination?,"[""conv-42_session_9_D9:10""]",1
conv-42_qa_117,conv-42,4,What filling did Joanna use in the cake she made recently in May 2022?,"[""conv-42_session_10_D10:11""]",1
conv-42_qa_118,conv-42,4,What kind of frosting did Joanna use on the cake she made recently in May 2022?,"[""conv-42_session_10_D10:11""]",1
conv-42_qa_119,conv-42,4,What does Nate feel he could do when out in cool places like Whispering Falls?,"[""conv-42_session_11_D11:13""]",1
conv-42_qa_120,conv-42,4,What creative activity does Nate joke about pursuing after being inspired by their hikes with Jo?,"[""conv-42_session_11_D11:16""]",1
conv-42_qa_121,conv-42,4,Who invited Nate to join her on the trails sometime?,"[""conv-42_session_11_D11:17""]",1
conv-42_qa_122,conv-42,4,"What did Nate do for Joanna on 25 May, 2022?","[""conv-42_session_13_D13:9""]",1
conv-42_qa_123,conv-42,4,How does Nate describe the stuffed animal he got for Joanna?,"[""conv-42_session_13_D13:11""]",1
conv-42_qa_124,conv-42,4,What event is Nate organizing in June 2022?,"[""conv-42_session_14_D14:20""]",1
conv-42_qa_125,conv-42,4,Who did Nate plan to invite to his gaming party in June 2022?,"[""conv-42_session_14_D14:22""]",1
conv-42_qa_126,conv-42,4,What special items did Nate get for everyone at his gaming party?,"[""conv-42_session_14_D14:24""]",1
conv-42_qa_127,conv-42,4,What did Joanna write yesterday that appeared on the big screen?,"[""conv-42_session_15_D15:1""]",1
conv-42_qa_128,conv-42,4,What superhero is Joanna a fan of?,"[""conv-42_session_15_D15:3""]",1
conv-42_qa_129,conv-42,4,Which superhero toy figure does Nate share a photo of?,"[""conv-42_session_15_D15:4""]",1
conv-42_qa_130,conv-42,4,What is displayed on Joanna's cork board for motivation and creativity?,"[""conv-42_session_15_D15:7""]",1
conv-42_qa_131,conv-42,4,What does the photo on Joanna's cork board remind her of?,"[""conv-42_session_15_D15:11""]",1
conv-42_qa_132,conv-42,4,What did Nate make and share with his vegan diet group?,"[""conv-42_session_16_D16:8""]",1
conv-42_qa_133,conv-42,4,How many people attended the gaming party hosted by Nate in June 2022?,"[""conv-42_session_16_D16:6""]",1
conv-42_qa_134,conv-42,4,What recipe Nate offer to share with Joanna?,"[""conv-42_session_16_D16:10""]",1
conv-42_qa_135,conv-42,4,What did Joanna plan to do with the recipe Nate promised to share?,"[""conv-42_session_16_D16:11""]",1
conv-42_qa_136,conv-42,4,"How many video game tournaments has Nate won by July 10, 2022?","[""conv-42_session_17_D17:1""]",1
conv-42_qa_137,conv-42,4,Where did Joanna go for a road trip for research?,"[""conv-42_session_17_D17:4""]",1
conv-42_qa_138,conv-42,4,What did Joanna discover at the library in Woodhaven?,"[""conv-42_session_17_D17:4""]",1
conv-42_qa_139,conv-42,4,What specific themes are explored in Joanna's new book?,"[""conv-42_session_17_D17:16""]",1
conv-42_qa_140,conv-42,4,What inspired Joanna's new script in July 2022?,"[""conv-42_session_17_D17:8""]",1
conv-42_qa_141,conv-42,4,What did Nate do while Joanna was on her road trip?,"[""conv-42_session_17_D17:2""]",1
conv-42_qa_142,conv-42,4,What does Nate do that he loves and can make money from?,"[""conv-42_session_17_D17:1""]",1
conv-42_qa_143,conv-42,4,How did Joanna feel when someone wrote her a letter after reading her blog post?,"[""conv-42_session_18_D18:5""]",1
conv-42_qa_144,conv-42,4,What kind of impact does Joanna hope to have with her writing?,"[""conv-42_session_18_D18:7""]",1
conv-42_qa_145,conv-42,4,What kind of content did Joanna share that someone wrote her a letter about?,"[""conv-42_session_18_D18:5""]",1
conv-42_qa_146,conv-42,4,What motivates Joanna to keep writing even on tough days?,"[""conv-42_session_18_D18:7""]",1
conv-42_qa_147,conv-42,4,What type of ice cream does Joanna mention that Nate makes and is delicious?,"[""conv-42_session_18_D18:9""]",1
conv-42_qa_148,conv-42,4,How did Nate feel about sharing his love for dairy-free desserts with Joanna?,"[""conv-42_session_18_D18:12""]",1
conv-42_qa_149,conv-42,4,What did Joanna share with her writers group in August 2022?,"[""conv-42_session_19_D19:6""]",1
conv-42_qa_150,conv-42,4,How did Joanna celebrate after sharing her book with her writers group?,"[""conv-42_session_19_D19:8""]",1
conv-42_qa_151,conv-42,4,How did Nate celebrate winning the international tournament?,"[""conv-42_session_19_D19:9""]",1
conv-42_qa_152,conv-42,4,Why is Joanna experimenting with dairy-free options in her dessert recipes?,"[""conv-42_session_20_D20:10""]",1
conv-42_qa_153,conv-42,4,What substitution does Nate suggest for butter in dairy-free baking?,"[""conv-42_session_20_D20:15""]",1
conv-42_qa_154,conv-42,4,What type of show did Nate host where he taught vegan ice cream recipes?,"[""conv-42_session_21_D21:4""]",1
conv-42_qa_155,conv-42,4,What is Nate's favorite dish from the cooking show he hosted?,"[""conv-42_session_21_D21:6""]",1
conv-42_qa_156,conv-42,4,What is one of Nate's favorite dairy-free treats besides coconut milk ice cream?,"[""conv-42_session_21_D21:10""]",1
conv-42_qa_157,conv-42,4,"What dessert did Joanna share a photo of that has an almond flour crust, chocolate ganache, and fresh raspberries?","[""conv-42_session_21_D21:11""]",1
conv-42_qa_158,conv-42,4,What kind of cake did Joanna share a photo of that she likes making for birthdays and special days?,"[""conv-42_session_21_D21:13""]",1
conv-42_qa_159,conv-42,4,"What two main ingredients are part of the dessert Joanna shared a photo of with blueberries, coconut milk, and a gluten-free crust?","[""conv-42_session_21_D21:17""]",1
conv-42_qa_160,conv-42,4,"What movie did Nate recently watch and enjoy on October 6, 2022?","[""conv-42_session_22_D22:8""]",1
conv-42_qa_161,conv-42,4,What did Joanna make for one of the ladies at her writing club?,"[""conv-42_session_22_D22:19""]",1
conv-42_qa_162,conv-42,4,"What game did Nate play at the game convention he attended on 9 October, 2022?","[""conv-42_session_23_D23:7""]",1
conv-42_qa_163,conv-42,4,What movie has Nate recently seen that blew his mind?,"[""conv-42_session_23_D23:17""]",1
conv-42_qa_164,conv-42,4,"What game has Nate been playing nonstop with a futuristic setting and gameplay on October 9, 2022?","[""conv-42_session_23_D23:17""]",1
conv-42_qa_165,conv-42,4,What did Nate share a photo of when mentioning unwinding at home?,"[""conv-42_session_23_D23:15""]",1
conv-42_qa_166,conv-42,4,How did Joanna describe the classic movie he watched?,"[""conv-42_session_23_D23:18""]",1
conv-42_qa_167,conv-42,4,What does Joanna recommend to make a living room comfy like hers?,"[""conv-42_session_23_D23:26""]",1
conv-42_qa_168,conv-42,4,What helps Joanna stay focused and brings her joy?,"[""conv-42_session_24_D24:8""]",1
conv-42_qa_169,conv-42,4,What does Joanna do while she writes?,"[""conv-42_session_24_D24:4""]",1
conv-42_qa_170,conv-42,4,Why did Joanna name the stuffed animal dog Tilly?,"[""conv-42_session_24_D24:6""]",1
conv-42_qa_171,conv-42,4,What does Joanna do after receiving a rejection from a production company?,"[""conv-42_session_24_D24:14""]",1
conv-42_qa_172,conv-42,4,How does Nate feel about Joanna's ability to bounce back from setbacks?,"[""conv-42_session_24_D24:15""]",1
conv-42_qa_173,conv-42,4,What encouragement does Nate give to Joanna after her setback?,"[""conv-42_session_24_D24:13""]",1
conv-42_qa_174,conv-42,4,What does Nate rely on for cheer and joy?,"[""conv-42_session_24_D24:3""]",1
conv-42_qa_175,conv-42,4,What does Joanna use to remember her dog from Michigan?,"[""conv-42_session_24_D24:6""]",1
conv-42_qa_176,conv-42,4,"What did Joanna contribute to that was shown on the big screen on the Sunday before October 25, 2022?","[""conv-42_session_25_D25:2""]",1
conv-42_qa_177,conv-42,4,What inspires Joanna to create drawings of her characters?,"[""conv-42_session_25_D25:8""]",1
conv-42_qa_178,conv-42,4,Where does Joanna get her ideas for the characters from?,"[""conv-42_session_25_D25:10""]",1
conv-42_qa_179,conv-42,4,"How did Joanna feel on October 25, 2022 about seeing her characters come alive on the big screen?","[""conv-42_session_25_D25:6""]",1
conv-42_qa_180,conv-42,4,What type of diet do Nate's turtles have?,"[""conv-42_session_25_D25:19""]",1
conv-42_qa_181,conv-42,4,What ingredient did Nate use to make the ice cream lactose-free?,"[""conv-42_session_26_D26:18""]",1
conv-42_qa_182,conv-42,4,What did Joanna find in old notebooks last week that prompted her to reflect on her progress as a writer?,"[""conv-42_session_26_D26:5""]",1
conv-42_qa_183,conv-42,4,"What game is Nate currently playing and recommends to others on November 7, 2022?","[""conv-42_session_27_D27:23""]",1
conv-42_qa_184,conv-42,4,What did Joanna receive from her brother that brought back childhood memories?,"[""conv-42_session_27_D27:29""]",1
conv-42_qa_185,conv-42,4,"What is the type of game ""Xenoblade Chronicles"" that Nate is playing?","[""conv-42_session_27_D27:23""]",1
conv-42_qa_186,conv-42,4,"What dish did Nate make on 9 November, 2022?","[""conv-42_session_28_D28:1""]",1
conv-42_qa_187,conv-42,4,"What project is Joanna working on in her notebook on November 9, 2022?","[""conv-42_session_28_D28:12""]",1
conv-42_qa_188,conv-42,4,"What is Nate creating for YouTube on 9 November, 2022?","[""conv-42_session_28_D28:13""]",1
conv-42_qa_189,conv-42,4,What inspired Nate to start making gaming videos?,"[""conv-42_session_28_D28:15""]",1
conv-42_qa_190,conv-42,4,What new content is Nate creating for YouTube?,"[""conv-42_session_28_D28:13""]",1
conv-42_qa_191,conv-42,4,What advice does Joanna give to Nate about making YouTube videos?,"[""conv-42_session_28_D28:18""]",1
conv-42_qa_192,conv-42,4,What did Joanna take a picture of near Fort Wayne last summer?,"[""conv-42_session_28_D28:22""]",1
conv-42_qa_193,conv-42,4,What inspired Joanna to take a picture of the sunset in the field near Fort Wayne?,"[""conv-42_session_28_D28:22""]",1
conv-42_qa_194,conv-42,4,Why did Nate get a third turtle?,"[""conv-42_session_28_D28:25""]",1
conv-42_qa_195,conv-42,4,What does Nate want to do when he goes over to Joanna's place?,"[""conv-42_session_28_D28:29""]",1
conv-42_qa_196,conv-42,4,What did Nate take to the beach in Tampa?,"[""conv-42_session_29_D29:6""]",1
conv-42_qa_197,conv-42,4,What does Nate love most about having turtles?,"[""conv-42_session_29_D29:8""]",1
conv-42_qa_198,conv-42,4,What did Nate share a photo of as a part of his experimentation in November 2022?,"[""conv-42_session_29_D29:10""]",1
conv-43_qa_0,conv-43,1,what are John's goals with regards to his basketball career?,"[""conv-43_session_1_D1:9"", ""conv-43_session_6_D6:15"", ""conv-43_session_11_D11:17""]",3
conv-43_qa_1,conv-43,1,What are John's goals for his career that are not related to his basketball skills?,"[""conv-43_session_6_D6:15"", ""conv-43_session_11_D11:17""]",2
conv-43_qa_2,conv-43,1,What items does John collect?,"[""conv-43_session_1_D1:15"", ""conv-43_session_12_D12:18"", ""conv-43_session_27_D27:20""]",3
conv-43_qa_3,conv-43,3,Would Tim enjoy reading books by C. S. Lewis or John Greene?,"[""conv-43_session_1_D1:14"", ""conv-43_session_1_D1:16"", ""conv-43_session_1_D1:18""]",3
conv-43_qa_4,conv-43,1,What books has Tim read?,"[""conv-43_session_1_D1:14"", ""conv-43_session_2_D2:7"", ""conv-43_session_6_D6:8"", ""conv-43_session_11_D11:26"", ""conv-43_session_20_D20:21"", ""conv-43_session_26_D26:36"", ""conv-43_session_22_D22:13""]",7
conv-43_qa_5,conv-43,3,"Based on Tim's collections, what is a shop that he would enjoy visiting in New York city?","[""conv-43_session_2_D2:9""]",1
conv-43_qa_6,conv-43,2,In which month's game did John achieve a career-high score in points?,"[""conv-43_session_3_D3:1""]",1
conv-43_qa_7,conv-43,1,Which geographical locations has Tim been to?,"[""conv-43_session_1_D1:18"", ""conv-43_session_3_D3:2"", ""conv-43_session_14_D14:16""]",3
conv-43_qa_8,conv-43,3,Which outdoor gear company likely signed up John for an endorsement deal?,"[""conv-43_session_3_D3:15"", ""conv-43_session_25_D25:2""]",2
conv-43_qa_9,conv-43,1,Which endorsement deals has John been offered?,"[""conv-43_session_3_D3:13"", ""conv-43_session_3_D3:15"", ""conv-43_session_25_D25:2"", ""conv-43_session_29_D29:4""]",4
conv-43_qa_10,conv-43,2,When was John in Seattle for a game?,"[""conv-43_session_3_D3:19"", ""conv-43_session_5_D5:2""]",2
conv-43_qa_11,conv-43,1,What sports does John like besides basketball?,"[""conv-43_session_1_D1:7"", ""conv-43_session_2_D2:14"", ""conv-43_session_3_D3:1"", ""conv-43_session_3_D3:25""]",4
